iso,age,sex,educ,n_OECD,weighted_OECD_average,n_country,mean_country,adj_factor
196,60,2,4,3950,276.4556157,50,277.35,1.003235182
196,20,1,1,275,205.7776175,2,242.11,1.176561392
196,20,1,2,1565,231.0829519,5,207.18,0.896561162
196,20,1,3,6405,277.727866,97,267.62,0.963605143
196,20,1,4,2103,291.7478206,31,273.49,0.937419171
196,20,2,1,192,194.605945,1,NA,1
196,20,2,2,1218,237.0561755,3,270.55,1.141290664
196,20,2,3,6076,273.8829346,76,268.93,0.98191587
196,20,2,4,3081,289.8873735,137,283.56,0.978172994
196,25,1,1,298,196.3601544,2,242.81,1.236554334
196,25,1,2,1051,232.0876741,11,259.3,1.117250199
196,25,1,3,3704,267.340451,60,264.3,0.988627045
196,25,1,4,3810,299.750268,124,280,0.934110925
196,25,2,1,323,196.5729388,4,219.9,1.118668731
196,25,2,2,1014,229.5671443,14,252.28,1.098937745
196,25,2,3,3260,262.9086568,69,270.3,1.028113731
196,25,2,4,5327,295.1491248,230,288.75,0.978319012
196,30,1,1,381,190.4162025,6,226.57,1.189867233
196,30,1,2,1077,231.7716408,11,257.23,1.109842426
196,30,1,3,3229,262.5670487,61,265.25,1.010218157
196,30,1,4,4128,297.7865421,112,284.06,0.95390476
196,30,2,1,447,196.9744142,5,258.9,1.314383906
196,30,2,2,1067,232.3697288,13,251.91,1.084091294
196,30,2,3,3070,262.1925507,87,260.33,0.992896249
196,30,2,4,5670,293.6764554,203,286.4,0.975222885
196,35,1,1,489,204.4650994,9,246.22,1.204215295
196,35,1,2,1142,230.151796,24,255.37,1.109572049
196,35,1,3,3339,264.5658611,80,261.67,0.98905429
196,35,1,4,4266,300.8865153,83,285.87,0.950092428
196,35,2,1,588,198.4153519,11,238.24,1.200713542
196,35,2,2,1173,227.5512671,18,257.51,1.131657069
196,35,2,3,3369,262.4081155,105,263.08,1.002560456
196,35,2,4,5600,291.8705203,151,278.05,0.952648454
196,40,1,1,549,193.7808056,12,245.09,1.264779549
196,40,1,2,1332,236.788219,12,258.76,1.092790854
196,40,1,3,3514,263.6327088,79,267.95,1.016376159
196,40,1,4,4112,297.2232884,86,280.28,0.942994748
196,40,2,1,619,197.9726431,4,222.42,1.123488561
196,40,2,2,1306,231.2318357,28,258.55,1.118141882
196,40,2,3,3596,264.0840893,116,266.67,1.009791997
196,40,2,4,5366,291.0038146,105,279.5,0.960468509
196,45,1,1,673,199.3911641,16,238.73,1.19729478
196,45,1,2,1420,232.6216891,18,248.98,1.07032152
196,45,1,3,3673,258.3136414,77,269.79,1.044428001
196,45,1,4,3938,293.4396454,71,287,0.978054617
196,45,2,1,759,190.7544588,22,240.22,1.259315255
196,45,2,2,1501,230.637305,28,260.15,1.127961498
196,45,2,3,3705,263.3588865,106,268.85,1.020850306
196,45,2,4,4861,287.3195095,85,283.26,0.985871097
196,50,1,1,756,195.1508127,38,240.95,1.234686121
196,50,1,2,1558,231.0716687,26,261.11,1.129995734
196,50,1,3,3383,258.7243826,71,267.18,1.03268195
196,50,1,4,3588,288.6698591,63,291.72,1.010566191
196,50,2,1,883,190.2751789,49,247.98,1.303270355
196,50,2,2,1788,233.0950911,29,264.38,1.13421522
196,50,2,3,3477,259.9978404,114,270.01,1.038508626
196,50,2,4,4274,282.3465856,77,281.93,0.99852456
196,55,1,1,962,191.9319996,43,242.22,1.262009464
196,55,1,2,1458,231.4855416,25,259.18,1.119637962
196,55,1,3,3237,257.7719857,56,267.68,1.038437126
196,55,1,4,3254,282.8529932,35,277.72,0.981852788
196,55,2,1,1290,192.0526432,72,249,1.296519516
196,55,2,2,1852,232.2918702,26,259.39,1.116655524
196,55,2,3,3282,254.6118979,87,271.21,1.065189813
196,55,2,4,3815,280.7795411,55,280.48,0.99893318
203,15,1,1,506,225.6939706,16,269.35,1.193430198
203,15,1,2,4961,257.4081019,297,279.19,1.084620095
203,15,1,3,2367,275.7654018,55,268.9,0.975104194
203,15,2,1,454,222.4591628,6,243.71,1.095526913
203,15,2,2,4722,259.2051287,288,272.51,1.051329507
203,15,2,3,2599,272.9901098,62,277.73,1.017362864
203,60,1,1,1396,195.1226007,1,NA,1
203,60,1,2,1541,230.9579974,20,224.2,0.97073928
203,60,1,3,3519,254.2220849,275,259.87,1.022216461
203,60,1,4,3569,279.4827961,87,286.13,1.023783947
203,60,2,1,1851,189.7488059,1,NA,1
203,60,2,2,2301,234.7829446,91,244.96,1.043346656
203,60,2,3,3757,255.7530047,293,261.75,1.023448387
203,60,2,4,3950,276.4556157,111,285.63,1.03318574
203,20,1,2,1565,231.0829519,39,254.79,1.102591073
203,20,1,3,6405,277.727866,291,289.36,1.041883208
203,20,1,4,2103,291.7478206,41,305.71,1.047857014
203,20,2,2,1218,237.0561755,38,268.53,1.132769477
203,20,2,3,6076,273.8829346,276,283.73,1.035953556
203,20,2,4,3081,289.8873735,69,282.68,0.975137332
203,25,1,1,298,196.3601544,1,NA,1
203,25,1,2,1051,232.0876741,18,251.69,1.084460866
203,25,1,3,3704,267.340451,184,280.77,1.050233883
203,25,1,4,3810,299.750268,105,305.32,1.018581241
203,25,2,1,323,196.5729388,2,134.1,0.682189526
203,25,2,2,1014,229.5671443,26,262.45,1.14323851
203,25,2,3,3260,262.9086568,198,272.65,1.037052196
203,25,2,4,5327,295.1491248,176,304.47,1.031580223
203,30,1,1,381,190.4162025,1,NA,1
203,30,1,2,1077,231.7716408,17,273.41,1.179652519
203,30,1,3,3229,262.5670487,180,279.63,1.064985121
203,30,1,4,4128,297.7865421,76,317.42,1.065931313
203,30,2,2,1067,232.3697288,15,245.34,1.055817387
203,30,2,3,3070,262.1925507,200,276.82,1.055788959
203,30,2,4,5670,293.6764554,139,311.16,1.059533355
203,35,1,2,1142,230.151796,5,292.61,1.271378304
203,35,1,3,3339,264.5658611,175,274.35,1.036981865
203,35,1,4,4266,300.8865153,70,291.99,0.970432323
203,35,2,1,588,198.4153519,1,NA,1
203,35,2,2,1173,227.5512671,21,219.86,0.966199849
203,35,2,3,3369,262.4081155,237,273.49,1.042231485
203,35,2,4,5600,291.8705203,96,299.19,1.025077831
203,40,1,2,1332,236.788219,4,252.76,1.067451755
203,40,1,3,3514,263.6327088,137,269.02,1.020434836
203,40,1,4,4112,297.2232884,57,305.71,1.02855332
203,40,2,1,619,197.9726431,1,NA,1
203,40,2,2,1306,231.2318357,8,233.95,1.011755147
203,40,2,3,3596,264.0840893,168,266.44,1.008921063
203,40,2,4,5366,291.0038146,53,282.25,0.969918557
203,45,1,2,1420,232.6216891,10,234.94,1.009966013
203,45,1,3,3673,258.3136414,142,272.47,1.054802985
203,45,1,4,3938,293.4396454,38,298.62,1.017653901
203,45,2,2,1501,230.637305,17,230.86,1.000965564
203,45,2,3,3705,263.3588865,143,260.35,0.988574957
203,45,2,4,4861,287.3195095,46,302.82,1.053948618
203,50,1,2,1558,231.0716687,6,239.87,1.038076201
203,50,1,3,3383,258.7243826,131,256.52,0.991479804
203,50,1,4,3588,288.6698591,52,296.79,1.028129507
203,50,2,2,1788,233.0950911,38,232.09,0.995688064
203,50,2,3,3477,259.9978404,144,260.21,1.000816005
203,50,2,4,4274,282.3465856,65,293.71,1.040246332
203,55,1,2,1458,231.4855416,19,230.33,0.995008148
203,55,1,3,3237,257.7719857,153,257.96,1.000729382
203,55,1,4,3254,282.8529932,52,291.82,1.031702004
203,55,2,2,1852,232.2918702,60,247.81,1.066804447
203,55,2,3,3282,254.6118979,180,267.61,1.051050647
203,55,2,4,3815,280.7795411,55,287.88,1.025288377
208,15,1,1,506,225.6939706,17,231.96,1.027763389
208,15,1,2,4961,257.4081019,208,269.2,1.045810128
208,15,1,3,2367,275.7654018,23,286.08,1.037403525
208,15,2,1,454,222.4591628,12,254.72,1.145019143
208,15,2,2,4722,259.2051287,216,274.28,1.058158075
208,15,2,3,2599,272.9901098,39,289.35,1.059928509
208,60,1,1,1396,195.1226007,5,168.85,0.86535337
208,60,1,2,1541,230.9579974,113,227.36,0.984421421
208,60,1,3,3519,254.2220849,288,240.4,0.945629882
208,60,1,4,3569,279.4827961,284,276.57,0.989577906
208,60,2,1,1851,189.7488059,12,184.44,0.972021927
208,60,2,2,2301,234.7829446,150,229.91,0.979244895
208,60,2,3,3757,255.7530047,225,249.78,0.976645417
208,60,2,4,3950,276.4556157,267,269.37,0.974369789
208,20,1,1,275,205.7776175,4,203.61,0.989466213
208,20,1,2,1565,231.0829519,79,255.34,1.104971171
208,20,1,3,6405,277.727866,205,291.17,1.048400379
208,20,1,4,2103,291.7478206,7,302.38,1.036443047
208,20,2,1,192,194.605945,4,180.69,0.928491676
208,20,2,2,1218,237.0561755,46,254.57,1.073880482
208,20,2,3,6076,273.8829346,170,292.05,1.066331498
208,20,2,4,3081,289.8873735,33,287.64,0.992247425
208,25,1,1,298,196.3601544,4,193.59,0.985892482
208,25,1,2,1051,232.0876741,26,255.45,1.10066164
208,25,1,3,3704,267.340451,80,283.9,1.061941801
208,25,1,4,3810,299.750268,96,302.41,1.00887316
208,25,2,1,323,196.5729388,4,176.52,0.897987287
208,25,2,2,1014,229.5671443,27,247.57,1.078420872
208,25,2,3,3260,262.9086568,74,278.27,1.058428442
208,25,2,4,5327,295.1491248,143,293.69,0.995056313
208,30,1,1,381,190.4162025,3,178.49,0.937367712
208,30,1,2,1077,231.7716408,24,243.46,1.050430498
208,30,1,3,3229,262.5670487,109,269.1,1.024881078
208,30,1,4,4128,297.7865421,147,297.79,1.000011612
208,30,2,1,447,196.9744142,3,208.87,1.060391528
208,30,2,2,1067,232.3697288,46,237.58,1.022422332
208,30,2,3,3070,262.1925507,56,264.73,1.009677809
208,30,2,4,5670,293.6764554,184,298.04,1.01485834
208,35,1,1,489,204.4650994,3,166.74,0.815493698
208,35,1,2,1142,230.151796,36,251.61,1.093235005
208,35,1,3,3339,264.5658611,118,278.17,1.051420614
208,35,1,4,4266,300.8865153,132,306.26,1.017858842
208,35,2,1,588,198.4153519,5,129.07,0.6505041
208,35,2,2,1173,227.5512671,40,247.92,1.08951272
208,35,2,3,3369,262.4081155,88,279.28,1.064296352
208,35,2,4,5600,291.8705203,197,296.89,1.017197625
208,40,1,1,549,193.7808056,2,262.99,1.357151959
208,40,1,2,1332,236.788219,43,234.86,0.991856778
208,40,1,3,3514,263.6327088,138,271.24,1.028855642
208,40,1,4,4112,297.2232884,162,305.88,1.02912528
208,40,2,1,619,197.9726431,9,165.38,0.835367945
208,40,2,2,1306,231.2318357,52,244.9,1.059110218
208,40,2,3,3596,264.0840893,108,267.79,1.014033071
208,40,2,4,5366,291.0038146,223,294.09,1.010605309
208,45,1,1,673,199.3911641,10,159.52,0.800035452
208,45,1,2,1420,232.6216891,52,239.06,1.027677174
208,45,1,3,3673,258.3136414,178,262.22,1.015122541
208,45,1,4,3938,293.4396454,148,296.98,1.012065018
208,45,2,1,759,190.7544588,15,167.07,0.875837981
208,45,2,2,1501,230.637305,54,239.97,1.040464811
208,45,2,3,3705,263.3588865,118,267.69,1.016445671
208,45,2,4,4861,287.3195095,193,286.11,0.995790368
208,50,1,1,756,195.1508127,11,208.11,1.066406012
208,50,1,2,1558,231.0716687,60,237.15,1.026304961
208,50,1,3,3383,258.7243826,129,256.42,0.991093292
208,50,1,4,3588,288.6698591,136,290.7,1.007032743
208,50,2,1,883,190.2751789,9,148.23,0.779029618
208,50,2,2,1788,233.0950911,72,243.86,1.046182478
208,50,2,3,3477,259.9978404,88,259.42,0.997777518
208,50,2,4,4274,282.3465856,175,281,0.995230735
208,55,1,1,962,191.9319996,10,150.35,0.783350355
208,55,1,2,1458,231.4855416,81,235.91,1.019113325
208,55,1,3,3237,257.7719857,217,255.69,0.99192315
208,55,1,4,3254,282.8529932,203,282.88,1.00009548
208,55,2,1,1290,192.0526432,8,157.85,0.821910063
208,55,2,2,1852,232.2918702,125,234.6,1.009936335
208,55,2,3,3282,254.6118979,145,258.34,1.014642293
208,55,2,4,3815,280.7795411,261,273.5,0.974073819
218,15,1,1,506,225.6939706,58,189.32,0.838834992
218,15,1,2,4961,257.4081019,143,206.28,0.801373377
218,15,1,3,2367,275.7654018,134,219.81,0.797090565
218,15,2,1,454,222.4591628,63,189.23,0.850628032
218,15,2,2,4722,259.2051287,141,201.9,0.778919773
218,15,2,3,2599,272.9901098,157,210.22,0.770064528
218,60,1,1,1396,195.1226007,131,155.88,0.798882341
218,60,1,2,1541,230.9579974,20,194.98,0.844222769
218,60,1,3,3519,254.2220849,27,211.58,0.832264436
218,60,1,4,3569,279.4827961,25,195.99,0.701259622
218,60,2,1,1851,189.7488059,156,159.58,0.84100661
218,60,2,2,2301,234.7829446,23,202.23,0.861348768
218,60,2,3,3757,255.7530047,25,210.44,0.822825133
218,60,2,4,3950,276.4556157,21,208.16,0.752959926
218,20,1,1,275,205.7776175,48,162.22,0.788326748
218,20,1,2,1565,231.0829519,46,185.24,0.801616902
218,20,1,3,6405,277.727866,196,212.43,0.764885436
218,20,1,4,2103,291.7478206,33,221.69,0.759868573
218,20,2,1,192,194.605945,64,176.03,0.90454585
