"cc","year","iso","wic_mys","country","age","sex","educ","weighted_OECD_avg","n_OECD","mean_country","n_country","mys","adj_factor","qamys_piaac","highLS","prop_19","prop_20_64","prop_65","illiterate_prop","hlo_mean","qamys_dhs_full","qamys_dhs_part","fit1","lwr1","upr1"
"Myanmar",2015,104,6.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2,0.371228804018029,0.575586121617135,0.0531850743648361,24.448799,NA,5.13372856536,5.65411134012,4.82266722299443,4.52178217657412,5.12355226941473
"Namibia",2015,516,8.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8,0.480169854881267,0.48503463060686,0.0347955145118734,8.4727325,325.14,7.28760663639,7.84156308726,6.76301135039406,6.43970892596182,7.08631377482629
"Nepal",2015,524,5.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5,0.438975794098045,0.506265200657401,0.0547590052445539,32.091568,189.48,3.96527467618,4.4600684738,4.13252224285707,3.81016754957574,4.4548769361384
"Nicaragua",2015,558,6.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.6,0.399625104822665,0.549517404673036,0.0508574905042998,17.385452,365.66,5.58785991462,5.81411682012,5.44494938821261,5.19317263550369,5.69672614092153
"Niger",2015,562,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,0.605307866298065,0.369268660467454,0.025423473234481,69.439606,147.45,0.37519115205,0.54049975005,-0.745221367433234,-1.17197059602532,-0.318472138841147
"Nigeria",2015,566,6.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,0.544078930665221,0.428559049529257,0.0273620198055213,37.98399,NA,2.72812331475,4.27826990025,4.38004403174909,4.07108269395056,4.68900536954763
"Pakistan",2015,586,5.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9,0.452323272857837,0.502829640737533,0.0448470864046297,40.86795,367.83,2.67423781636,3.10400805156,3.19673036518734,2.92182455823253,3.47163617214216
"Papua New Guinea",2015,598,6.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,0.470153682961017,0.493389233353117,0.0364570836858655,38.400002,NA,3.87309835184,5.14504740118,4.54725556166905,4.21787969668035,4.87663142665775
"Peru",2015,604,10.22,"Peru",0,0,0,262.45345050269,182648,193.22,6603,10.22,0.736206743062117,7.52403291409484,66.8,0.367461412695327,0.564287740344011,0.0682508469606622,5.7765274,419.49,9.46682996644,9.77687898138,9.14926683493197,8.71106857524891,9.58746509461502
"Philippines",2015,608,9.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.8,0.42277210008297,0.531511861554251,0.0457160383627791,1.8174515,367.48,8.84009814006,9.24018878862,8.26855907536848,7.73778704580254,8.79933110493442
