"cc","year","iso","wic_mys","country","age","sex","educ","weighted_OECD_avg","n_OECD","mean_country","n_country","mys","adj_factor","qamys_piaac","highLS","prop_19","prop_20_64","prop_65","illiterate_prop","hlo_mean","qamys_dhs_full","qamys_dhs_part","qamys"
"Congo",2015,178,8.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4,0.522590331298168,0.443739365428886,0.0336703032729457,19.701241,NA,6.8340281007,7.43053501872,5.46722248056
"Costa Rica",2015,188,9.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.6,0.305689027561102,0.605283411336453,0.0890275611024441,2.1362076,422.54,NA,NA,NA
"Cote d'Ivoire",2015,384,4.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2,0.53711085431355,0.434034044431749,0.0288551012547013,52.834648,259.79,2.09814302608,2.3168725008,1.678514420864
"Croatia",2015,191,12.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.7,0.205315834198848,0.605868189972618,0.188815975828534,0.87464142,491.55,NA,NA,NA
"Cuba",2015,192,11.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.7,0.223994276690601,0.636953733674173,0.139051989635226,0.24746704,507.91,NA,NA,NA
"Curaçao",2015,531,10.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.6,0.25506329113924,0.589873417721519,0.15506329113924,3.6,NA,NA,NA,NA
"Cyprus",2015,196,13.01,"Cyprus",0,0,0,262.45345050269,182648,269.35,4750,13.01,1.0262772292919,13.3518667530876,82.9,0.236109914721337,0.635541390300629,0.128348694978034,1.3215714,518,NA,NA,13.3518667530876
"Czech Republic",2015,203,13.02,"Czech Republic",0,0,0,262.45345050269,182648,273.92,5377,13.02,1.04368984090454,13.5888417285771,90.7,0.194301129021609,0.625725092198715,0.179973778779676,0.200718699596004,516.2,NA,NA,13.5888417285771
"Democratic People's Republic of Korea",2015,408,11.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.9,0.288466947403449,0.614560018381261,0.0969730342152905,0.200718699596004,NA,NA,NA,NA
"Democratic Republic of the Congo",2015,180,6.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7,0.566317919697204,0.403504880795206,0.0301771995075896,22.957321,340.17,4.5846735662,5.17439715214,3.66773885296
"Denmark",2015,208,12.6,"Denmark",0,0,0,262.45345050269,182648,270.74,6812,12.6,1.03157340656577,12.9978249227287,78.5,0.231779348170024,0.577734416200823,0.190486235629153,0.200718699596004,534.18,NA,NA,12.9978249227287
"Djibouti",2015,262,4.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6,0.42478162406988,0.534239189043459,0.0409791868866602,19.0515236129458,NA,NA,NA,NA
"Dominican Republic",2015,214,8.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4,0.392162077448401,0.5413124626008,0.0665254599507993,7.1151657,337.71,7.4511111555,8.15628137247,5.9608889244
"Ecuador",2015,218,9.4,"Ecuador",0,0,0,262.45345050269,182648,194.8,4996,9.4,0.742226858236727,6.97693246742524,43.5,0.383057124455014,0.549915774871185,0.067027100673801,6.1214423,414.71,NA,NA,6.97693246742524
"Egypt",2015,818,8.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.6,0.418119313989346,0.531250933006905,0.0506297530037491,28.831749,397.83,5.97624029856,6.39562557888,4.780992238848
"El Salvador",2015,222,8.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4,0.389694934583584,0.530997560743815,0.0793075046726011,11.599268,363.87,NA,NA,NA
"Equatorial Guinea",2015,226,7.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2,0.458443215652914,0.512632922160783,0.0289238621863037,5.6294632,NA,NA,NA,NA
"Eritrea",2015,232,3.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1,0.522655992076593,0.440801419610432,0.0365425883129746,23.429482,NA,NA,NA,NA
"Estonia",2015,233,13.27,"Estonia",0,0,0,262.45345050269,182648,275.42,7087,13.27,1.04940514012094,13.9256062094049,84.7,0.20556484719477,0.60620343621712,0.18823171658811,0.11421204,542.42,NA,NA,13.9256062094049
"Ethiopia",2015,231,3.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,0.534015877514599,0.431172566571092,0.0348115559143091,48.228821,NA,1.27658612604,1.78145498778,1.021268900832
