"cc","year","iso","wic_mys","adj_factor","qamys_piaac","highLS","prop_19","prop_20_64","prop_65","country","illiterate_prop","hlo_mean","qamys_dhs_full","qamys_dhs_part","tot_dep","youth_dep","old_dep","above_sec","bach_n_higher","master_n_above","sex_ratio","qamys"
"Democratic People's Republic of Korea",2015,408,11.01,NA,NA,0.999,0.288466947403449,0.614560018381261,0.0969730342152905,"North Korea",0.023278487,NA,NA,NA,0.45,0.31,0.14,0.222,0,0,0.96,NA
"Democratic Republic of the Congo",2015,180,6.74,NA,NA,0.217,0.566317919697204,0.403504880795206,0.0301771995075896,"Democratic Republic of Congo",0.22957321,340.17,4.5846735662,5.17439715214,0.97,0.92,0.06,0.055,0,0,0.99,3.66773885296
"Denmark",2015,208,12.6,1.03157340656577,12.9978249227287,0.785,0.231779348170024,0.577734416200823,0.190486235629153,"Denmark",0.002007187,534.18,NA,NA,0.56,0.26,0.3,0.665,0.275,0.093,0.99,12.9978249227287
"Djibouti",2015,262,4.08,NA,NA,0.146,0.42478162406988,0.534239189043459,0.0409791868866602,"Djibouti",0.19240797,NA,NA,NA,0.57,0.5,0.06,0.045,0,0,1.01,NA
"Dominican Republic",2015,214,8.79,NA,NA,0.414,0.392162077448401,0.5413124626008,0.0665254599507993,"Dominican Republic",0.071151657,337.71,7.4511111555,8.15628137247,0.58,0.47,0.1,0.189,0,0,0.99,5.9608889244
"Ecuador",2015,218,9.4,0.742226858236727,6.97693246742524,0.435,0.383057124455014,0.549915774871185,0.067027100673801,"Ecuador",0.061214423,414.71,NA,NA,0.56,0.45,0.1,0.194,0,0,1,6.97693246742524
"Egypt",2015,818,8.64,NA,NA,0.606,0.418119313989346,0.531250933006905,0.0506297530037491,"Egypt",0.28831749,397.83,5.97624029856,6.39562557888,0.62,0.54,0.08,0.472,0.182,0.003,1.02,4.780992238848
"El Salvador",2015,222,8.04,NA,NA,0.334,0.389694934583584,0.530997560743815,0.0793075046726011,"El Salvador",0.11599268,363.87,NA,NA,0.57,0.44,0.12,0.128,0,0,0.89,NA
"Equatorial Guinea",2015,226,7.44,NA,NA,0.172,0.458443215652914,0.512632922160783,0.0289238621863037,"Equatorial Guinea",0.061052108,NA,NA,NA,0.68,0.63,0.05,0.058,0,0,1.23,NA
"Eritrea",2015,232,3.78,NA,NA,0.151,0.522655992076593,0.440801419610432,0.0365425883129746,"Eritrea",0.23429482,NA,NA,NA,0.85,0.78,0.07,0.046,0,0,1,NA
"Estonia",2015,233,13.27,1.04940514012094,13.9256062094049,0.847,0.20556484719477,0.60620343621712,0.18823171658811,"Estonia",0.0017731124,542.42,NA,NA,0.54,0.25,0.29,0.918,0.277,0.209,0.88,13.9256062094049
"Ethiopia",2015,231,3.18,NA,NA,0.093,0.534015877514599,0.431172566571092,0.0348115559143091,"Ethiopia",0.48228821,NA,1.27658612604,1.78145498778,0.82,0.76,0.06,0.018,0,0,1,1.021268900832
"Fiji",2015,242,11.52,NA,NA,0.491,0.373276538504652,0.568434032059186,0.0582894294361619,"Fiji",0.0091789246,NA,NA,NA,0.53,0.44,0.09,0.206,0,0,1.03,NA
"Finland",2015,246,13.03,1.09531804382604,14.2719941110533,0.864,0.219145598482361,0.578216774287695,0.202637627229944,"Finland",0.002007187,531.13,NA,NA,0.58,0.26,0.32,0.792,0.287,0.132,0.97,14.2719941110533
"France",2015,250,12.14,0.995757531476316,12.0884964321225,0.799,0.241626742295424,0.568982797353821,0.189390460350755,"France",0.004014374,499.18,NA,NA,0.59,0.29,0.3,0.712,0.187,0.082,0.97,12.0884964321225
"French Guiana",2015,254,8.54,NA,NA,0.465,0.430431547619048,0.521577380952381,0.0479910714285714,"French Guiana",0.043469939,NA,NA,NA,0.63,0.55,0.08,0.166,0,0,1,NA
"French Polynesia",2015,258,10.91,NA,NA,0.665,0.323730644580483,0.603889088944904,0.0723802664746129,"French Polynesia",0.056167297,NA,NA,NA,0.45,0.35,0.11,0.219,0,0,1.04,NA
"Gabon",2015,266,8.76,NA,NA,0.217,0.45215769569497,0.502719784489458,0.0451225198155727,"Gabon",0.1533284,324.76,7.4887081974,7.97870443884,0.67,0.6,0.08,0.116,0,0,1.06,5.99096655792
"Gambia",2015,270,4.38,NA,NA,0.183,0.564775485436893,0.411913430420712,0.0233110841423948,"Gambia",0.49222031,267.32,2.20741862052,2.52795005148,0.92,0.88,0.04,0.049,0,0,0.98,1.765934896416
