"iso","country","illiterate_prop"
504,"Morocco",0.26249992
499,"Montenegro",0.011528168
496,"Mongolia",0.015768814
498,"Moldova",0.0026689392
583,"Micronesia",0.034062576
484,"Mexico",0.050788517
175,"Mayotte",0.4118298
480,"Mauritius",0.076030555
478,"Mauritania",0.46502411
474,"Martinique",0.0097416061
470,"Malta",0.054968109
466,"Mali",0.65728668
462,"Maldives",0.022650528
458,"Malaysia",0.054427466
454,"Malawi",0.37856461
450,"Madagascar",0.25195679
807,"Macedonia",0.017880181
446,"Macao",0.034615097
442,"Luxembourg",0.002007187
440,"Lithuania",0.0024393523
434,"Libya",0.091393242
430,"Liberia",0.51698639
426,"Lesotho",0.10093046
422,"Lebanon",0.049305573
428,"Latvia",0.0011068726
418,"Laos",0.15338959
417,"Kyrgyz Republic",0.0041400146
414,"Kuwait",0.040740433
296,"Kiribati",0.034062576
404,"Kenya",0.18465027
398,"Kazakhstan",0.0021836853
400,"Jordan",0.017728882
392,"Japan",0.002007187
388,"Jamaica",0.079913483
380,"Italy",0.0084423828
376,"Israel",0.015797259
372,"Ireland",0.004014374
368,"Iraq",0.15549999
364,"Iran",0.1445575
360,"Indonesia",0.045821786
356,"India",0.25627007
352,"Iceland",0.004014374
348,"Hungary",0.0040396068
344,"Hong Kong",0.028321025
340,"Honduras",0.11966817
332,"Haiti",0.38308651
328,"Guyana",0.00508515
624,"Guinea-Bissau",0.41367012
324,"Guinea",0.47364422
320,"Guatemala",0.21350151
316,"Guam",0.034062576
312,"Guadeloupe",0.070446215
308,"Grenada",0.070446215
300,"Greece",0.020640488
288,"Ghana",0.20960358
276,"Germany",0.002007187
268,"Georgia",0.0063574219
270,"Gambia",0.49222031
266,"Gabon",0.1533284
258,"French Polynesia",0.056167297
254,"French Guiana",0.043469939
250,"France",0.004014374
246,"Finland",0.002007187
242,"Fiji",0.0091789246
231,"Ethiopia",0.48228821
233,"Estonia",0.0017731124
232,"Eritrea",0.23429482
226,"Equatorial Guinea",0.061052108
222,"El Salvador",0.11599268
818,"Egypt",0.28831749
218,"Ecuador",0.061214423
214,"Dominican Republic",0.071151657
262,"Djibouti",0.19240797
208,"Denmark",0.002007187
180,"Democratic Republic of Congo",0.22957321
203,"Czech Republic",0.002007187
196,"Cyprus",0.0081683058
531,"Curacao",0.070446215
192,"Cuba",0.014323975
191,"Croatia",0.0051741338
384,"Cote d'Ivoire",0.52834648
188,"Costa Rica",0.021362076
178,"Congo",0.19701241
174,"Comoros",0.4118298
170,"Colombia",0.053361993
156,"China",0.03159111
152,"Chile",0.033617935
148,"Chad",0.75842728
140,"Central African Republic",0.62604179
136,"Cayman Islands",0.070446215
132,"Cape Verde",0.13209709
124,"Canada",0.002007187
120,"Cameroon",0.22928963
116,"Cambodia",0.19473511
108,"Burundi",0.31624672
854,"Burkina Faso",0.58775551
100,"Bulgaria",0.0067916721
96,"Brunei",0.027858887
76,"Brazil",0.072100849
72,"Botswana",0.12104816
70,"Bosnia and Herzegovina",0.017880181
68,"Bolivia",0.075449219
64,"Bhutan",0.3343885
204,"Benin",0.576376
84,"Belize",0.029743707
56,"Belgium",0.004014374
112,"Belarus",0.0024343872
52,"Barbados",0.070446215
50,"Bangladesh",0.28824696
48,"Bahrain",0.026884129
44,"Bahamas",0.030730619
31,"Azerbaijan",0.0021021526
40,"Austria",0.002007187
36,"Australia",0.002007187
533,"Aruba",0.021925812
51,"Armenia",0.0026393127
32,"Argentina",0.0089705402
28,"Antigua and Barbuda",0.010500031
660,"Anguilla",0.070446215
24,"Angola",0.2908198
16,"American Samoa",0.0074493027
12,"Algeria",0.18592163
8,"Albania",0.018588486
4,"Afghanistan",0.56980282
