"iso","cc","wic_mys","estimate","lower","upper","qamys","adj_factor","highLS","prop_20_64","hlo_mean"
752,"Sweden",12.77,13.0951116537835,12.8485837423417,13.3416395652254,13.6203433147981,1.06658913976492,81.6,0.579257863310016,509.15
428,"Latvia",12.59,12.8449697538962,12.676263662562,13.0136758452304,NA,NA,86.9,0.612123036780571,508.22
528,"Netherlands",12.42,12.8353836133834,12.6502800359193,13.0204871908475,13.4249703833247,1.0809154898007,76.4,0.593629896389881,530.27
348,"Hungary",12.41,12.7034687993916,12.4997967671948,12.9071408315884,12.470833946862,1.00490201022256,83.5,0.628142090467672,522.5
268,"Georgia",12.65,12.4203291766987,11.9674664268659,12.8731919265315,11.7873454228726,0.931805962282418,94,0.606984689358471,459.68
705,"Slovenia",12.2,12.3908708433562,12.1952154477895,12.5865262389229,11.8679407492418,0.97278202862638,81.8,0.626777194081642,518.04
40,"Austria",12.16,12.3637028024433,12.1892821986057,12.5381234062809,12.4823110297284,1.02650584126056,79.5,0.617758215421487,519.54
250,"France",12.14,12.299339625499,11.9685872293554,12.6300920216426,12.0884964321225,0.995757531476316,79.9,0.568982797353821,499.18
56,"Belgium",11.95,12.2670409871911,12.050343741423,12.4837382329591,12.5349275983944,1.04894791618363,73.7,0.592670027197264,529.11
688,"Serbia",12.06,12.2285091586586,12.0752139624246,12.3818043548927,NA,NA,81.1,0.609326975230519,512.22
191,"Croatia",12.03,12.0055111752022,11.7820855503404,12.2289368000639,NA,NA,84.7,0.605868189972618,491.55
380,"Italy",11.94,11.6449776875949,11.3473602055021,11.9425951696876,11.3370504152297,0.949501709818236,62.1,0.592241918244701,500.75
643,"Russian Federation",10.87,11.5214090818409,10.9556604569004,12.0871577067815,11.4045488610153,1.04917652815229,92.9,0.652776918698515,551.63
100,"Bulgaria",11.7,11.4929224745851,11.2922645019511,11.6935804472192,NA,NA,79.8,0.616716584244619,490.67
300,"Greece",11.78,11.3231736705927,11.0663753384986,11.5799720026869,11.3745412540095,0.965580751613714,73,0.605234537966446,477.87
499,"Montenegro",11.97,11.2165373453427,10.7543680047418,11.6787066859436,NA,NA,83.2,0.609996816300541,441.38
724,"Spain",11.47,11.0376537863018,10.66975629305,11.4055512795536,10.9834349461923,0.957579332710751,59.8,0.616949510537137,504.83
642,"Romania",11.65,11.0116075875914,10.7145153669342,11.3086998082486,NA,NA,73.7,0.621058510397432,469.42
51,"Armenia",11.03,10.7084285737338,10.2785123156654,11.1383448318021,10.7275125623511,0.972575934936637,94.1,0.630056218291512,469.07
804,"Ukraine",10.98,10.6970332322016,10.301362217671,11.0927042467322,11.2566417196703,1.02519505643627,93,0.643217959454195,478.3
470,"Malta",11.17,10.4001716566904,9.87871752205547,10.9216257913254,NA,NA,48.3,0.61585223287351,498
70,"Bosnia and Herzegovina",11.24,10.3938996996751,10.0486732609418,10.7391261384083,NA,NA,73.1,0.632013574660634,460.77
31,"Azerbaijan",11,10.3284776923866,9.90215512137355,10.7548002633996,NA,NA,89.4,0.638685258549875,453.14
498,"Republic of Moldova",11.06,9.73885772768955,9.13560435317307,10.342111102206,NA,NA,73.6,0.683710863523451,443.29
8,"Albania",10.57,9.03214098447078,8.49595578446836,9.56832618447321,NA,NA,51.7,0.60883248383676,436.73
620,"Portugal",9.35,8.83473104594398,8.2002896370244,9.46917245486356,NA,NA,45.3,0.599109174162211,525.21
807,"The former Yugoslav Republic of Macedonia",10.64,8.53998228586496,7.81579638090231,9.2641681908276,NA,NA,63.4,0.643180069257407,389
792,"Turkey",9.21,8.00160883209074,7.43775507214679,8.5654625920347,7.90937172296283,0.85878086025655,43.9,0.580928459364571,470.39
112,"Belarus",11.56,NA,NA,NA,NA,NA,95.9,0.64658562557328,NA
