"iso","country","age","sex","mys","adj_factor","qamys","diff","qamys_old","diff_old_new"
348,"Hungary",15,2,9.06,1.00720291121552,9.12525837561258,-0.0652583756125757,9.129697818,-0.00443944238742411
372,"Ireland",15,2,11.64,0.835947072164351,9.73042391999304,1.90957608000696,11.71489693,-1.98447301000696
376,"Israel",15,2,11.15,0.964949759174638,10.7591898147972,0.390810185202792,11.47261855,-0.713428735202791
380,"Italy",15,2,9.43,1.00532923072338,9.48025464572144,-0.0502546457214361,9.577704345,-0.0974496992785649
392,"Japan",15,2,9.94,1.13702281902252,11.3020068210839,-1.36200682108388,11.09718773,0.204819091083881
398,"Kazakhstan",15,2,9.98,0.932973743276261,9.31107795789708,0.668922042102917,9.393783226,-0.0827052681029166
40,"Austria",15,2,10.5,1.00909935316676,10.595543208251,-0.095543208251021,10.9035165,-0.307973291748979
404,"Kenya",15,2,7.3,0.681831688257588,4.97737132428039,2.32262867571961,4.986599505,-0.00922818071960751
410,"South Korea",15,2,9.88,1.0366876558209,10.2424740395105,-0.362474039510539,11.02869558,-0.786221540489461
440,"Lithuania",15,2,9.12,1.0707214168805,9.76497932195019,-0.644979321950196,9.595689436,0.169289885950194
484,"Mexico",15,2,9.12,0.888552273839567,8.10359673741685,1.01640326258315,8.035824734,0.0677720034168505
51,"Armenia",15,2,9.97,0.991359693839233,9.88385614757715,0.0861438524228486,10.00493522,-0.121079072422848
528,"Netherlands",15,2,9.2,1.11894571007164,10.2943005326591,-1.09430053265907,10.14262903,0.151671502659067
554,"New Zealand",15,2,12.77,1.01933036139869,13.0168487150612,-0.24684871506124,13.5203189,-0.50347018493876
56,"Belgium",15,2,9.08,1.05719035100012,9.59928838708105,-0.519288387081049,9.652290171,-0.0530017839189512
578,"Norway",15,2,11.07,1.02338306128994,11.3288504884796,-0.258850488479581,11.37848331,-0.0496328215204187
604,"Peru",15,2,9.24,0.80212450409415,7.41163041782994,1.82836958217006,7.511870181,-0.100239763170058
616,"Poland",15,2,9.33,1.09655303027194,10.2308397724372,-0.900839772437182,10.11338366,0.117456112437182
643,"Russia",15,2,9.87,1.0346536223749,10.2120312528403,-0.342031252840304,10.44653783,-0.234506577159697
68,"Bolivia",15,2,8.65,0.581611705794827,5.03094125512525,3.61905874487475,6.84367931,-1.81273805487475
702,"Singapore",15,2,9.39,1.01034267955046,9.48711776097881,-0.0971177609788079,10.24252006,-0.755402299021192
703,"Slovakia",15,2,9.6,1.04535947130686,10.0354509245459,-0.435450924545892,9.994556441,0.0408944835458911
704,"Viet Nam",15,2,9.07,1.05712482759491,9.58812218628588,-0.518122186285877,9.648390553,-0.0602683667141228
705,"Slovenia",15,2,10.52,1.0380370241225,10.9201494937687,-0.400149493768698,11.04223368,-0.122084186231303
724,"Spain",15,2,10.44,1.00790957283249,10.5225759403712,-0.0825759403711697,10.36583774,0.156738200371169
752,"Sweden",15,2,10.3,1.02767944324386,10.5850982654118,-0.28509826541179,10.58859721,-0.00349894458820899
792,"Turkey",15,2,8.73,0.905771204529555,7.90738261554301,0.822617384456986,7.889610872,0.0177717435430136
804,"Ukraine",15,2,9.9,0.9816622691008,9.71845646409792,0.18154353590208,9.810746801,-0.0922903369020798
826,"United Kingdom",15,2,11.46,0.972176852378572,11.1411467282584,0.318853271741562,11.35280705,-0.21166032174156
840,"USA",15,2,10.1,1.02776846407108,10.3804614871179,-0.280461487117888,10.22584454,0.154616947117887
124,"Canada",20,1,12.38,1.01322435567751,12.5437175232876,-0.163717523287611,12.91907663,-0.375359106712388
152,"Chile",20,1,11.33,0.866345405592507,9.8156934453631,1.5143065546369,10.04920126,-0.2335078146369
170,"Colombia",20,1,9.46,0.713967342538841,6.75413106041744,2.70586893958256,8.916917283,-2.16278622258256
196,"Cyprus",20,1,12.49,0.951502165711068,11.8842620497312,0.605737950268757,12.28829397,-0.404031920268757
203,"Czechia",20,1,12.7,1.05679947235173,13.421353298867,-0.72135329886698,13.4840667,-0.0627134011330206
208,"Denmark",20,1,11.55,1.06226025096046,12.2691058985933,-0.719105898593325,11.94465843,0.324447468593325
218,"Ecuador",20,1,10.31,0.77269370286967,7.96647207658629,2.34352792341371,7.756232062,0.210240014586294
233,"Estonia",20,1,11.31,1.07637875408439,12.1738437086945,-0.86384370869445,12.00447982,0.16936388869445
246,"Finland",20,1,11.37,1.10237399109635,12.5339922787655,-1.16399227876554,12.97564619,-0.441653911234464
250,"France",20,1,12,1.01122895413933,12.1347474496719,-0.134747449671949,12.35045234,-0.215704890328052
268,"Georgia",20,1,12.54,0.912661981278563,11.4447812452332,1.09521875476682,11.81901144,-0.374230194766817
276,"Germany",20,1,12.63,1.06270476566857,13.4219611903941,-0.79196119039409,13.2239536,0.198007590394091
288,"Ghana",20,1,9.09,0.450920182559445,4.09886445946536,4.99113554053464,6.113919026,-2.01505456653464
300,"Greece",20,1,11.75,0.912903146590179,10.7266119724346,1.0233880275654,10.84360689,-0.116994917565396
348,"Hungary",20,1,11.81,0.993235118687389,11.7301067516981,0.0798932483019303,11.77331236,-0.0432056083019301
372,"Ireland",20,1,13.71,0.976844957141043,13.3925443624037,0.317455637596296,13.8340362,-0.441491837596296
376,"Israel",20,1,11.84,0.946073385370242,11.2015088827837,0.638491117216333,11.28334053,-0.0818316472163332
380,"Italy",20,1,12.01,0.960340886347827,11.5336940450374,0.476305954962601,11.05417953,0.479514515037398
392,"Japan",20,1,13.21,1.09239777607004,14.4305746218853,-1.22057462188525,14.89340044,-0.46282581811475
398,"Kazakhstan",20,1,11.69,0.896230443217642,10.4769338812142,1.21306611878576,10.84931057,-0.37237668878576
40,"Austria",20,1,11.9,1.04135352985244,12.3921070052441,-0.492107005244065,12.59146461,-0.199357604755933
404,"Kenya",20,1,8.6,0.555900395780274,4.78074340371036,3.81925659628964,5.9818717,-1.20112829628965
410,"South Korea",20,1,12.7,1.05314815149163,13.3749815239438,-0.674981523943766,13.89676742,-0.521785896056235
440,"Lithuania",20,1,12.02,1.00287433385104,12.0545494928895,-0.0345494928894627,12.35589331,-0.301343817110538
484,"Mexico",20,1,10.21,0.928935461234082,9.48443105919998,0.725568940800024,8.931344743,0.553086316199977
51,"Armenia",20,1,11.02,0.919242221394404,10.1300492797663,0.889950720233664,10.37443169,-0.244382410233664
528,"Netherlands",20,1,11.64,1.12265909720577,13.0677518914752,-1.42775189147518,12.9249289,0.142822991475176
554,"New Zealand",20,1,13.52,1.01926041882527,13.7804008625177,-0.260400862517669,13.92386037,-0.143459507482332
56,"Belgium",20,1,11.76,1.0520790339586,12.3724494393531,-0.612449439353112,12.65728389,-0.284834450646889
578,"Norway",20,1,12.69,1.05737578976146,13.4180987720729,-0.728098772072871,13.31592836,0.102170412072871
604,"Peru",20,1,10.66,0.803643539138065,8.56684012721177,2.09315987278823,8.555542865,0.0112972622117677
616,"Poland",20,1,11.93,1.02354548569548,12.2108976443471,-0.280897644347112,12.33057005,-0.119672405652889
643,"Russia",20,1,11.54,0.96530024823212,11.1395648645987,0.400435135401338,11.56187711,-0.422312245401338
68,"Bolivia",20,1,10.33,0.608125227334417,6.28193359836452,4.04806640163548,9.015810986,-2.73387738763548
702,"Singapore",20,1,12.65,0.988220437137617,12.5009885297909,0.149011470209148,13.48160263,-0.980614100209147
703,"Slovakia",20,1,12.8,1.03469901225168,13.2441473568215,-0.444147356821485,13.1363471,0.107800256821486
704,"Viet Nam",20,1,9.35,1.03892899949376,9.71398614526669,-0.363986145266686,9.558543037,0.155443108266686
705,"Slovenia",20,1,12.79,1.00736049468595,12.8841407270333,-0.094140727033313,12.90523892,-0.0210981929666882
724,"Spain",20,1,11.6,1.03638189052176,12.0220299300524,-0.422029930052362,11.54032444,0.481705490052363
752,"Sweden",20,1,12.22,1.07676170555859,13.1580280419259,-0.938028041925937,13.1822663,-0.0242382580740621
792,"Turkey",20,1,10.9,0.906606963011029,9.88201589682021,1.01798410317979,9.666195027,0.215820869820213
804,"Ukraine",20,1,11.37,0.908276981438605,10.3271092789569,1.04289072104306,11.72334993,-1.39624065104306
826,"United Kingdom",20,1,13.01,1.00316679551465,13.0512000096456,-0.0412000096455571,13.12095424,-0.0697542303544427
840,"USA",20,1,12.3,1.01190403414035,12.4464196199263,-0.146419619926338,12.56213659,-0.115716970073661
124,"Canada",20,2,12.63,1.001489479462,12.6488121256051,-0.018812125605109,13.02539194,-0.376579814394891
152,"Chile",20,2,11.65,0.871675346418816,10.1550177857792,1.49498221422079,10.28106168,-0.126043894220794
