iso,year,c_exp_
208,2005,23555.71
208,2010,24328.89
208,2015,27493.14
212,1970,1029.026
212,1975,1143.609
212,1980,811.1677
212,1985,14.05241
212,1990,465.8983
212,1995,20.10688
212,2000,616.1426
212,2005,1232.287
212,2010,2373.103
212,2015,19.50851
214,1970,199.501
214,1975,1143.609
214,1980,238.3313
214,1985,200.0773
214,1990,193.6278
214,1995,289.8607
214,2000,670.0021
214,2005,965.0891
214,2010,2373.103
214,2015,174.4503
218,1970,360.4813
218,1975,746.7045
218,1980,1603.803
218,1985,2447.546
218,1990,1251.489
218,1995,1054.162
218,2000,638.2242
218,2005,3482.314
218,2010,4551.544
218,2015,5156.048
222,1970,241.9279
222,1975,120.5424
222,1980,407.6244
222,1985,3576.543
222,1990,3962.534
222,1995,444.8304
222,2000,558.9792
222,2005,784.8878
222,2010,855.4496
222,2015,928.4382
226,1970,135.4108
226,1975,107.6822
226,1980,366.2435
226,1985,633.5424
226,1990,249.7708
226,1995,42.64781
226,2000,323.4345
226,2005,421.6706
226,2010,727.2653
226,2015,472.4514
231,1970,209.3517
231,1975,197.4945
231,1980,257.8704
231,1985,257.9539
231,1990,277.4443
231,1995,428.9646
231,2000,692.2311
231,2005,1511.006
231,2010,2275.151
231,2015,2912.855
233,1970,15227.4
233,1975,17890.72
233,1980,17636.33
233,1985,19025.02
233,1990,18548.47
233,1995,792.392
233,2000,883.304
233,2005,1162.763
233,2010,1149.242
233,2015,1286.585
242,1970,253.3918
242,1975,126.6738
242,1980,148.8805
242,1985,125.5214
242,1990,18.41082
242,1995,180.2336
242,2000,217.2177
242,2005,200.158
242,2010,172.5111
242,2015,240.2892
246,1970,4522.111
246,1975,5232.16
246,1980,5918.551
246,1985,7432.195
246,1990,9753.629
246,1995,10998.56
246,2000,12612.97
246,2005,14356.91
246,2010,16537.83
246,2015,16880.05
250,1970,36294.11
250,1975,53506.64
250,1980,65046.71
250,1985,71082.71
250,1990,87507.91
250,1995,109230.4
250,2000,15909.38
250,2005,42948.7
250,2010,41847.94
