"cc","iso","year","wic_mys","highLS","prop_19","prop_20_64","prop_65","illiterate_prop","hlo_mean","adj_factor","qamys_piaac","qamys_dhs_full","HLO_reg_est","HLO_reg_low","HLO_reg_high","Illit_reg_est","Illit_reg_low","Illit_reg_high"
"Belize",84,2015,8.73,39.6,0.431394377957139,0.531032563317562,0.0375730587252992,2.971047048,NA,NA,NA,NA,NA,NA,NA,6.76966628930376,6.43580265610256,7.12084942894889
"Benin",204,2015,4.3,10.2,0.537564766839378,0.43015581861503,0.0322794145455921,57.6376,279.03,NA,NA,1.5559994061,1.56287561057548,1.4832143157167,1.64681539832051,1.26781399395655,1.19100242545094,1.34957938701383
"Bhutan",64,2015,5.12,14.1,0.370793650793651,0.582349206349206,0.0468571428571429,33.43885,NA,NA,NA,NA,NA,NA,NA,2.37459410088381,2.20210656911624,2.56059230876149
"Bolivia (Plurinational State of)",68,2015,9.53,48.1,0.425317258291607,0.510028252538533,0.0646544891698602,7.5449219,NA,0.745894937273814,7.10837875221945,9.0506785482,NA,NA,NA,7.21643216545601,6.93867835241937,7.50530440432795
"Bosnia and Herzegovina",70,2015,11.24,73.1,0.210803167420814,0.632013574660634,0.157183257918552,2.4330978,460.77,NA,NA,NA,10.3820325362053,9.77752330245044,11.0239164099781,10.7756340141226,10.3294991648849,11.2410375907716
"Botswana",72,2015,9.74,44.2,0.415146439726585,0.547598569553212,0.0372549907202028,13.176819,398.47,NA,NA,NA,7.3390145388013,6.93136813382097,7.77063537253583,6.81419634544754,6.48761717015282,7.15721514024181
"Brazil",76,2015,7.49,45.1,0.309549301779262,0.61083959835859,0.0796110998621476,7.2100849,408.76,NA,NA,NA,5.02535522549358,4.68651808773243,5.38869042424092,5.59557709231806,5.29691467869247,5.91107935380291
"Brunei Darussalam",96,2015,9.77,39.7,0.322078544061303,0.636973180076628,0.040948275862069,2.7858887,NA,NA,NA,NA,NA,NA,NA,8.24327053574044,7.64592309495175,8.88728650308707
"Bulgaria",100,2015,11.7,79.8,0.182545099951243,0.616716584244619,0.200738315804137,1.6475525,490.67,NA,NA,NA,11.2377207223246,10.5173607057004,12.0074199760513,11.8722760216501,11.2396461099023,12.5405138699224
"Burkina Faso",854,2015,2.58,6.5,0.564448174755244,0.411471073832545,0.024080751412211,58.775551,296.88,NA,NA,0.58703018124,0.65605927191735,0.598007206984094,0.719746791078675,0.626575995147484,0.584319076939961,0.67188885865419
"Burundi",108,2015,3.95,5.5,0.549835287658339,0.425144123298953,0.0250205890427076,31.624672,332.33,NA,NA,2.68528430345,1.42054287865505,1.32888652012986,1.51852098695409,1.60379956244633,1.51792911610606,1.69452776760843
"Cambodia",116,2015,5.28,11.8,0.417071536270732,0.541741304431872,0.0411871592973955,19.473511,NA,NA,NA,3.1796737896,NA,NA,NA,2.93104025775583,2.76019495065506,3.11246022334274
"Cameroon",120,2015,7.49,20.8,0.535209170760756,0.433176575677167,0.0316142535620769,22.928963,336.64,NA,NA,5.06119624115,4.1793910845679,3.92649932172429,4.44857070040063,4.1604636281392,3.94706254097564,4.38540241543542
"Canada",124,2015,13.29,88.6,0.218704099345707,0.619806271420305,0.161489629233988,0.2007187,519.69,1.04239437308216,13.8534212182618,NA,14.0528685647728,13.4140887638894,14.722067102344,13.5311519526233,12.9658969025397,14.1210495919582
"Cape Verde",132,2015,6.61,13,0.419778570088197,0.535560142615875,0.0446612872959279,13.209709,NA,NA,NA,NA,NA,NA,NA,4.29701589337834,4.05263129319821,4.55613754425081
