"cc","iso","year","prop_19","prop_20_64","prop_65","adj_factor","qamys_piaac","wic_mys","highLS","illiterate_prop","qamys_dhs_full","qamys_dhs_part","qamys","year_1970","year_1975","year_1980","year_1985","year_1990","year_1995","year_2000","year_2005","year_2010","year_2015","fit3","lwr3","upr3","qamys_pred","plot"
"Argentina",32,1970,0.382567888874984,0.547236474366996,0.0701956367580194,NA,NA,6.75,16.3,6.7430353,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,5.88614676590477,5.64435738266181,6.13829376860475,5.88614676590477,2
"Argentina",32,1975,0.37903863121955,0.544400966739556,0.0765604020408946,NA,NA,7.16,19.7,6.0528488,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,6.17363095508561,5.91896339931551,6.43925576123666,6.17363095508561,2
"Argentina",32,1980,0.385556057624912,0.532333068857429,0.08211087351766,NA,NA,7.59,23.4,6.0871429,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,6.4213531066424,6.15660567471343,6.69748525385383,6.4213531066424,2
"Argentina",32,1985,0.389727102508498,0.524158651077539,0.0861142464139631,NA,NA,8.02,27.4,4.6564274,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,6.7287520264522,6.4512834379772,7.01815449108231,6.7287520264522,2
"Argentina",32,1990,0.391861214737685,0.5176032777569,0.0905355075054156,NA,NA,8.46,31.8,3.8718033,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,7.19081574257051,6.89226135509626,7.50230271017889,7.19081574257051,2
"Argentina",32,1995,0.386388834912616,0.518139837918776,0.0954713271686079,NA,NA,8.9,36.1,3.456527,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,7.3814360647224,7.22022155789819,7.54625020031176,7.3814360647224,2
"Argentina",32,2000,0.367709640423666,0.533174121297983,0.0991162382783512,NA,NA,9.31,40.5,2.8066864,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,7.92214801014021,7.75899081658042,8.08873609702616,7.92214801014021,2
"Argentina",32,2005,0.355334215514467,0.543563228374215,0.101102556111318,NA,NA,9.68,44.8,1.2028885,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,8.51496551189199,8.34497108674966,8.68842287348779,8.51496551189199,2
"Argentina",32,2010,0.342775290002377,0.55317801852328,0.104046691474342,NA,NA,9.98,48.7,0.9431259,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,8.93144519557451,8.76265930731617,9.10348222884214,8.93144519557451,2
"Argentina",32,2015,0.331231729987354,0.559487967418621,0.109280302594025,NA,NA,10.31,53.1,0.89705402,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,9.380709453979,9.21380642415145,9.55063584028739,9.380709453979,2
"Armenia",51,1970,0.495782345253653,0.448655498792127,0.0555621559542196,0.967914059714751,7.45293825980359,7.7,55.4,47.610863,NA,NA,7.45293825980359,1,0,0,0,0,0,0,0,0,0,4.99825192757174,4.69466872159742,5.32146650019089,7.45293825980359,1
"Armenia",51,1975,0.464456317893917,0.477442411804253,0.0581012703018294,0.971289166326865,8.43078996371719,8.68,65.3,42.94355,NA,NA,8.43078996371719,0,1,0,0,0,0,0,0,0,0,5.94992550391967,5.59653600844785,6.3256295409796,8.43078996371719,1
"Armenia",51,1980,0.420290323623549,0.519996120397013,0.0597135559794381,0.967793289324062,9.16500244989887,9.47,73.7,37.220085,NA,NA,9.16500244989887,0,0,1,0,0,0,0,0,0,0,6.84253936101873,6.45488894047667,7.25347025159399,9.16500244989887,1
"Armenia",51,1985,0.389920105724755,0.55586592178771,0.0542139724875353,0.96872162658253,9.65815461702783,9.97,79.6,1.2480392,NA,NA,9.65815461702783,0,0,0,1,0,0,0,0,0,0,10.0200628701538,9.58197348237766,10.4781817760699,9.65815461702783,1
"Armenia",51,1990,0.379853303503158,0.563705360935686,0.0564413355611566,0.965757938646873,10.0149098237681,10.37,84.7,26.760311,NA,NA,10.0149098237681,0,0,0,0,1,0,0,0,0,0,8.15586818203482,7.74104502489822,8.59292067011361,10.0149098237681,1
"Armenia",51,1995,0.374144368388301,0.541941505911637,0.0839141257000622,0.966061136613238,10.3271935503955,10.69,88.9,21.130911,NA,NA,10.3271935503955,0,0,0,0,0,1,0,0,0,0,8.58375741363464,8.32175469012809,8.85400904974208,10.3271935503955,1
"Armenia",51,2000,0.354746330827557,0.545217872368121,0.100035796804322,0.963678305714507,10.4559096170024,10.85,91.2,0.59983826,NA,NA,10.4559096170024,0,0,0,0,0,0,1,0,0,0,10.7217718618115,10.4310111802965,11.0206373926507,10.4559096170024,1
"Armenia",51,2005,0.317459257280256,0.565722682340369,0.116818060379375,0.962229021676015,10.5364077873524,10.95,92.5,12.786404,NA,NA,10.5364077873524,0,0,0,0,0,0,0,1,0,0,9.65585581218545,9.38822390343823,9.93111715535141,10.5364077873524,1
"Armenia",51,2010,0.279437489281427,0.613342479849083,0.107220030869491,0.958536818423746,10.5439050026612,11,92.6,0.25559235,NA,NA,10.5439050026612,0,0,0,0,0,0,0,0,1,0,10.972057419968,10.6692657416754,11.2834422669625,10.5439050026612,1
"Armenia",51,2015,0.260866584395996,0.630056218291512,0.109077197312491,0.972575934936637,10.7275125623511,11.03,94.1,0.26393127,NA,NA,10.7275125623511,0,0,0,0,0,0,0,0,0,1,11.0376926871318,10.7239117432461,11.3606548405521,10.7275125623511,1
"Aruba",533,1970,0.483925549915398,0.475465313028765,0.0406091370558376,NA,NA,4.97,8.3,17.808514,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,3.54536860930933,3.40045284616411,3.69646019060526,3.54536860930933,2
"Aruba",533,1975,0.42504118616145,0.515650741350906,0.0593080724876442,NA,NA,5.66,11.7,21.10346,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,3.91179199761172,3.75443567810431,4.07574345242357,3.91179199761172,2
"Aruba",533,1980,0.381031613976705,0.550748752079867,0.0682196339434276,NA,NA,6.28,14.9,13.758053,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,4.62593497983511,4.43496161887432,4.82513182224419,4.62593497983511,2
"Aruba",533,1985,0.334920634920635,0.592063492063492,0.073015873015873,NA,NA,6.94,18.7,16.747963,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,4.91123163472424,4.7075025963382,5.12377756067058,4.91123163472424,2
"Aruba",533,1990,0.315112540192926,0.607717041800643,0.0771704180064309,NA,NA,7.45,22.5,10.757634,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,5.63815895086625,5.40077581189638,5.8859759157585,5.63815895086625,2
"Aruba",533,1995,0.296758104738155,0.634663341645885,0.0685785536159601,NA,NA,8.01,26.6,13.912856,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,5.74343215870129,5.61553699885866,5.87424016052404,5.74343215870129,2
"Aruba",533,2000,0.299229922992299,0.624862486248625,0.0759075907590759,NA,NA,8.47,30.2,2.7087479,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,6.91440812173875,6.74361036375796,7.0895317337588,6.91440812173875,2
"Aruba",533,2005,0.285714285714286,0.628371628371628,0.0859140859140859,NA,NA,8.86,33.3,9.9192209,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,6.85895768903266,6.71171951537765,7.00942589632237,6.85895768903266,2
"Aruba",533,2010,0.28023598820059,0.616519174041298,0.103244837758112,NA,NA,9.17,35.4,3.1773605,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,7.67590303188465,7.501798680674,7.85404805739234,7.67590303188465,2
"Aruba",533,2015,0.259578544061303,0.618773946360153,0.121647509578544,NA,NA,9.46,40.2,2.1925812,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,8.12733766298819,7.95505361736685,8.30335289557613,8.12733766298819,2
"Australia",36,1970,0.37648928336111,0.541188326033875,0.0823223906050153,NA,NA,10.03,56.3,1.6087557,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,10.923200371623,10.4869583745164,11.3775893922271,10.923200371623,1
"Australia",36,1975,0.363116460309572,0.549133156147137,0.0877503835432918,NA,NA,10.53,63.7,1.1971706,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,11.357188870044,10.9002783582945,11.8332518482613,11.357188870044,1
"Australia",36,1980,0.340917131582528,0.562845285072799,0.0962375833446728,NA,NA,11.03,70.7,0.79552633,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,11.7537123704603,11.2767248989304,12.250875651016,11.7537123704603,1
"Australia",36,1985,0.318419968956888,0.578890683898761,0.10268934714435,NA,NA,11.47,76.7,0.53177327,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,11.9763979963324,11.4866082149173,12.4870724484433,11.9763979963324,1
"Australia",36,1990,0.301995951938039,0.587033332163373,0.110970715898588,NA,NA,11.87,81.8,0.37593016,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,12.4332403640438,11.9230788813331,12.9652304986516,12.4332403640438,1
"Australia",36,1995,0.285595254517865,0.595431093943992,0.118973651538143,NA,NA,12.21,85.8,0.29987678,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,12.3596633115999,12.1004325164468,12.624447677261,12.3596633115999,1
"Australia",36,2000,0.276874515798069,0.599562386147114,0.123563098054817,NA,NA,12.59,88.6,0.25392306,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,12.9145146227917,12.6328522151046,13.2024569829831,12.9145146227917,1
"Australia",36,2005,0.266430506149876,0.604399887511286,0.129169606338838,NA,NA,12.93,91.1,0.2239619,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,13.4173778281174,13.1135827973921,13.7282107082329,13.4173778281174,1
"Australia",36,2010,0.257026154852978,0.607979599666012,0.13499424548101,NA,NA,13.24,93,0.2075292,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,13.8717073421365,13.5487391143129,14.2023743288855,13.8717073421365,1
"Australia",36,2015,0.250563053599341,0.599660487083382,0.149776459317276,NA,NA,13.68,94.9,0.2007187,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,14.5034778428027,14.1567930954019,14.8586525295049,14.5034778428027,1
"Austria",40,1970,0.310604648686067,0.549761708245693,0.139633643068239,0.942263426747725,8.13173337283287,8.63,44.8,1.6087557,NA,NA,8.13173337283287,1,0,0,0,0,0,0,0,0,0,8.86020255603585,8.50921784590522,9.22566453881085,8.13173337283287,1
"Austria",40,1975,0.309450480321875,0.543595926765658,0.146953592912467,0.950261577910756,8.63787774320877,9.09,49.7,1.1971706,NA,NA,8.63787774320877,0,1,0,0,0,0,0,0,0,0,9.21012187609108,8.84542510741764,9.58985508806326,8.63787774320877,1
"Austria",40,1980,0.290276736015159,0.55835405892648,0.151369205058361,0.95792193658513,9.17689215248554,9.58,55,0.79552633,NA,NA,9.17689215248554,0,0,1,0,0,0,0,0,0,0,9.57686627698709,9.19831779234568,9.97099358358913,9.17689215248554,1
"Austria",40,1985,0.263350344609881,0.595951491555743,0.140698163834377,0.968484419860774,9.70421388700496,10.02,59.8,0.53177327,NA,NA,9.70421388700496,0,0,0,1,0,0,0,0,0,0,9.80913575974738,9.42395485806238,10.2100599803741,9.70421388700496,1
"Austria",40,1990,0.236158675799087,0.615413553341636,0.148427770859278,0.980392022069499,10.2745083912884,10.48,64.7,0.37593016,NA,NA,10.2745083912884,0,0,0,0,1,0,0,0,0,0,10.3165900274423,9.91112401555389,10.7386437327688,10.2745083912884,1
"Austria",40,1995,0.235075047962984,0.613725563956915,0.151199388080101,0.991328117140882,10.8054764768356,10.9,69.2,0.29987678,NA,NA,10.8054764768356,0,0,0,0,0,1,0,0,0,0,10.4083132357928,10.2297756946519,10.5899667449226,10.8054764768356,1
"Austria",40,2000,0.228302847421426,0.61851010195085,0.153187050627724,0.999373005954962,11.1929776666956,11.2,72.3,0.25392306,NA,NA,11.1929776666956,0,0,0,0,0,0,1,0,0,0,10.8334649410017,10.6443352480884,11.0259551106295,11.1929776666956,1
"Austria",40,2005,0.219547137740545,0.619195046439629,0.161257815819826,1.00526523436834,11.5605501952359,11.5,75.5,0.2239619,NA,NA,11.5605501952359,0,0,0,0,0,0,0,1,0,0,11.2660119462346,11.0635913971797,11.4721360014305,11.5605501952359,1
"Austria",40,2010,0.207408025162028,0.615147255051468,0.177444719786504,1.0146183926222,11.9319122972371,11.76,78,0.2075292,NA,NA,11.9319122972371,0,0,0,0,0,0,0,0,1,0,11.6401048578203,11.4252324776706,11.8590183058293,11.9319122972371,1
"Austria",40,2015,0.19384016223441,0.617758215421487,0.188401622344103,1.02650584126056,12.4823110297284,12.16,79.5,0.2007187,NA,NA,12.4823110297284,0,0,0,0,0,0,0,0,0,1,12.1733243096634,11.9467742311348,12.4041705217832,12.4823110297284,1
"Azerbaijan",31,1970,0.532470807308841,0.411995189510028,0.0555340031811305,NA,NA,6.95,44.8,47.610863,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,4.31279723282539,4.06650939443488,4.57400147579179,4.31279723282539,1
"Azerbaijan",31,1975,0.522127158693628,0.422462711477311,0.0554101298290613,NA,NA,7.81,54,42.94355,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,5.10747814092317,4.82388047961523,5.40774861032393,5.10747814092317,1
"Azerbaijan",31,1980,0.477504285668079,0.469029983504221,0.0534657308277,NA,NA,8.58,62.9,37.220085,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,5.93028207340026,5.6160636727392,6.26208097333402,5.93028207340026,1
"Azerbaijan",31,1985,0.433903296571205,0.517519608137753,0.0485770952910419,NA,NA,9.14,69.6,29.239998,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,6.72253309342355,6.39098195336239,7.07128443202666,6.72253309342355,1
"Azerbaijan",31,1990,0.43417061545128,0.523797542667841,0.0420318418808795,NA,NA,9.6,75.1,26.760311,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,7.27804277116716,6.92940535123594,7.64422109748433,7.27804277116716,1
"Azerbaijan",31,1995,0.426148464626386,0.526777070721413,0.0470744646522014,NA,NA,9.99,80,1.2081985,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,9.42024485322078,9.19854156454327,9.64729163552339,9.42024485322078,1
"Azerbaijan",31,2000,0.410195190390627,0.533893716001674,0.0559110936076993,NA,NA,10.37,83.7,14.300962,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,8.74926926066054,8.5395527286682,8.96413606517749,8.74926926066054,1
"Azerbaijan",31,2005,0.371383592793423,0.564503527491108,0.0641128797154685,NA,NA,10.7,86.3,0.31912231,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,10.4743925906833,10.2143453540789,10.7410603754405,10.4743925906833,1
"Azerbaijan",31,2010,0.32713836408824,0.613609870895375,0.0592517650163855,NA,NA,10.87,87.8,0.2192215,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,10.7227301287977,10.4529541202659,10.9994686757604,10.7227301287977,1
"Azerbaijan",31,2015,0.303927379355523,0.638685258549875,0.0573873620946023,NA,NA,11,89.4,0.21021526,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,10.9157971794612,10.6355238969827,11.2034563804551,10.9157971794612,1
"Bahamas",44,1970,0.517709563164109,0.448642266824085,0.0336481700118064,NA,NA,8.5,34.3,8.34622,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,7.99339125558037,7.67837066862164,8.32133619517728,7.99339125558037,1
"Bahamas",44,1975,0.506087877183695,0.456855479089465,0.0370566437268396,NA,NA,9.23,42.8,7.2211666,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,8.74880509151667,8.40643534060902,9.10511857024559,8.74880509151667,1
"Bahamas",44,1980,0.495726495726496,0.462962962962963,0.0413105413105413,NA,NA,10.09,52.6,6.3407297,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,9.64583074408238,9.26836046948047,10.0386741592389,9.64583074408238,1
