iso,year,edu_exp_
266,2010,2.955066
266,2015,3.32617
268,1970,3.685292
268,1975,3.981776
268,1980,4.347406
268,1985,4.264387
268,1990,6.91566
268,1995,2.132025
268,2000,2.306676
268,2005,2.865354
268,2010,2.33977
268,2015,3.817255
270,1970,3.425147
270,1975,4.469747
270,1980,3.979005
270,1985,3.584657
270,1990,2.592097
270,1995,2.228323
270,2000,1.292954
270,2005,2.05138
270,2010,3.238134
270,2015,2.209163
275,1970,3.685292
275,1975,3.981776
275,1980,4.347406
275,1985,4.264387
275,1990,5.658722
275,1995,4.0492
275,2000,4.691046
275,2005,4.015701
275,2010,5.715837
275,2015,5.370477
276,1970,4.173138
276,1975,5.02131
276,1980,4.932112
276,1985,4.157341
276,1990,4.37435
276,1995,4.452477
276,2000,3.794348
276,2005,4.478087
276,2010,4.902124
276,2015,4.803055
288,1970,4.216183
288,1975,4.778
288,1980,2.140143
288,1985,3.282867
288,1990,3.799333
288,1995,4.11037
288,2000,6.44501
288,2005,5.855436
288,2010,6.139926
288,2015,4.151285
296,1970,4.06489
296,1975,6.29366
296,1980,8.249955
296,1985,5.863735
296,1990,5.162165
296,1995,10.87101
296,2000,11.587
296,2005,7.891088
296,2010,5.500103
296,2015,5.582323
300,1970,1.324417
300,1975,1.522133
300,1980,1.719588
300,1985,1.887995
300,1990,1.990205
300,1995,2.960145
300,2000,3.423122
300,2005,3.96396
300,2010,4.382982
300,2015,4.067101
308,1970,5.809939
308,1975,6.181745
308,1980,4.281818
308,1985,3.532633
308,1990,4.105412
308,1995,4.152601
308,2000,3.92674
308,2005,4.492093
308,2010,5.831887
308,2015,3.17043
312,1970,5.809939
312,1975,6.181745
312,1980,4.281818
312,1985,3.532633
312,1990,4.105412
312,1995,4.152601
312,2000,4.537179
312,2005,4.492093
312,2010,5.831887
312,2015,4.496346
320,1970,1.94213
320,1975,1.62729
320,1980,3.873037
320,1985,3.845829
320,1990,1.552865
320,1995,1.58425
320,2000,4.104048
320,2005,3.069097
320,2010,2.892942
320,2015,2.87761
324,1970,3.425147
324,1975,4.469747
324,1980,3.979005
324,1985,3.123109
324,1990,2.03705
324,1995,2.36142
324,2000,2.37004
324,2005,1.879143
324,2010,2.345868
324,2015,2.512593
328,1970,4.32898
328,1975,8.233299
328,1980,7.740475
328,1985,2.994236
328,1990,3.72445
328,1995,6.0852
328,2000,7.543166
328,2005,5.071085
328,2010,4.065243
328,2015,5.848577
332,1970,5.809939
332,1975,6.181745
332,1980,1.12042
332,1985,.96929
332,1990,1.07399
332,1995,4.152601
332,2000,4.537179
332,2005,4.492093
332,2010,3.0242
332,2015,2.769282
336,1970,2.733934
336,1975,2.847354
336,1980,3.146412
336,1985,3.289963
336,1990,4.003836
336,1995,4.152017
336,2000,3.91619
336,2005,4.293172
336,2010,4.382982
336,2015,4.067101
340,1970,2.648185
340,1975,2.01602
340,1980,1.93636
340,1985,3.845829
340,1990,2.51264
340,1995,2.61745
340,2000,4.104048
340,2005,4.376545
340,2010,6.482525
340,2015,6.247085
344,1970,2.301855
344,1975,2.356087
344,1980,2.258798
344,1985,2.55897
344,1990,2.647145
344,1995,2.72831
344,2000,4.190875
344,2005,3.816946
344,2010,3.554146
344,2015,3.296805
348,1970,4.57293
348,1975,4.051205
348,1980,3.52948
348,1985,4.729352
348,1990,5.929223
348,1995,4.535945
348,2000,5.21487
348,2005,5.14539
348,2010,4.475994
348,2015,4.64144
352,1970,5.414495
352,1975,5.769451
352,1980,5.599663
352,1985,5.274018
352,1990,4.711514
352,1995,5.804082
352,2000,6.981166
352,2005,7.186176
352,2010,7.31457
352,2015,7.496125
356,1970,2.268256
356,1975,2.329819
356,1980,2.519711
356,1985,2.6203
356,1990,2.694158
356,1995,3.783103
356,2000,3.76358
356,2005,3.203283
356,2010,3.72151
356,2015,3.836018
360,1970,2.78821
360,1975,2.804652
360,1980,3.164941
360,1985,.87141
360,1990,.99855
360,1995,1.05166
360,2000,2.768048
360,2005,3.086025
360,2010,3.21125
360,2015,3.5836
364,1970,2.77602
364,1975,4.190915
364,1980,5.228898
364,1985,3.769906
364,1990,3.86813
364,1995,3.94666
364,2000,4.24941
364,2005,4.139904
364,2010,3.246408
364,2015,3.477227
368,1970,3.685292
368,1975,3.85705
368,1980,2.42379
368,1985,3.5515
368,1990,5.658722
368,1995,4.0492
368,2000,4.691046
368,2005,4.015701
368,2010,3.892564
368,2015,3.991761
372,1970,4.593973
372,1975,4.928485
372,1980,5.4279
372,1985,5.155342
372,1990,4.93272
372,1995,4.512017
372,2000,4.205278
372,2005,5.07183
372,2010,5.575606
372,2015,3.73901
376,1970,5.659265
376,1975,6.23617
376,1980,6.992962
376,1985,5.985916
376,1990,5.774682
376,1995,6.543985
376,2000,6.25643
376,2005,5.61398
376,2010,5.692168
376,2015,5.851875
380,1970,3.378047
380,1975,3.906693
380,1980,4.646645
380,1985,4.6612
380,1990,4.59877
380,1995,4.444822
380,2000,4.473364
380,2005,4.368978
380,2010,4.164068
380,2015,3.955475
384,1970,6.533312
384,1975,7.05823
384,1980,6.85976
384,1985,3.123109
384,1990,6.024293
384,1995,4.054168
384,2000,3.911706
384,2005,4.22386
384,2010,4.53031
384,2015,4.93395
388,1970,3.940205
388,1975,5.704546
388,1980,4.281818
388,1985,4.78018
388,1990,3.955422
388,1995,3.81545
388,2000,4.781826
388,2005,5.62411
388,2010,6.203464
388,2015,5.35967
392,1970,2.39059
392,1975,2.272197
392,1980,2.829135
392,1985,2.623468
392,1990,2.610227
392,1995,3.223577
392,2000,4.227512
392,2005,3.665209
392,2010,3.627985
392,2015,3.18618
398,1970,4.57293
398,1975,4.051205
398,1980,3.52948
398,1985,4.125498
398,1990,6.88689
398,1995,4.05604
398,2000,2.84741
