iso3n,year,illit_,age
12,"2015_19",43.33997,"55-59"
12,"2020_25",30.73256,"55-59"
12,"1970_74",94.69764,"60-64"
12,"1975_79",93.10245,"60-64"
12,"1980_84",91.06277,"60-64"
12,"1985_89",88.11311,"60-64"
12,"1990_94",84.58726,"60-64"
12,"1995_99",80.59727,"60-64"
12,"2000_04",75.01268,"60-64"
12,"2005_09",69.62307,"60-64"
12,"2010_14",58.41077,"60-64"
12,"2015_19",53.03398,"60-64"
12,"2020_25",39.65289,"60-64"
12,"1970_74",96.06974,"65-69"
12,"1975_79",94.7488,"65-69"
12,"1980_84",92.90197,"65-69"
12,"1985_89",90.72335,"65-69"
12,"1990_94",88.29887,"65-69"
12,"1995_99",84.76706,"65-69"
12,"2000_04",80.77909,"65-69"
12,"2005_09",77.81393,"65-69"
12,"2010_14",67.66397,"65-69"
12,"2015_19",63.01952,"65-69"
12,"2020_25",44.215,"65-69"
12,"1970_74",96.7603,"70+"
12,"1975_79",96.25912,"70+"
12,"1980_84",94.72769,"70+"
12,"1985_89",92.78841,"70+"
12,"1990_94",90.80653,"70+"
12,"1995_99",88.32761,"70+"
12,"2000_04",85.09547,"70+"
12,"2005_09",84.00089,"70+"
12,"2010_14",76.03905,"70+"
12,"2015_19",73.82478,"70+"
12,"2020_25",54.66098,"70+"
12,"1970_74",73.22581,"15+"
12,"1975_79",66.0418,"15+"
12,"1980_84",58.09679,"15+"
12,"1985_89",50.2226,"15+"
12,"1990_94",42.78205,"15+"
12,"1995_99",35.96231,"15+"
12,"2000_04",30.1265,"15+"
12,"2005_09",26.10764,"15+"
12,"2010_14",21.00981,"15+"
12,"2015_19",18.59216,"15+"
12,"2020_25",13.60148,"15+"
16,"1970_74","NA","NA"
16,"1975_79","NA","NA"
16,"1980_84","NA","NA"
16,"1985_89","NA","NA"
16,"1990_94","NA","NA"
16,"1995_99","NA","NA"
16,"2000_04","NA","NA"
16,"2005_09","NA","NA"
16,"2010_14","NA","NA"
16,"2015_19","NA","NA"
16,"2020_25","NA","NA"
20,"1970_74","NA","NA"
20,"1975_79","NA","NA"
20,"1980_84","NA","NA"
20,"1985_89","NA","NA"
20,"1990_94","NA","NA"
20,"1995_99","NA","NA"
20,"2000_04","NA","NA"
20,"2005_09","NA","NA"
20,"2010_14","NA","NA"
20,"2015_19","NA","NA"
20,"2020_25","NA","NA"
24,"1970_74","NA","NA"
24,"1975_79","NA","NA"
24,"1980_84","NA","NA"
24,"1985_89","NA","NA"
24,"1990_94","NA","NA"
24,"1995_99","NA","NA"
24,"2000_04","NA","NA"
24,"2005_09","NA","NA"
24,"2010_14","NA","NA"
24,"2015_19","NA","NA"
24,"2020_25","NA","NA"
28,"1970_74","NA","NA"
28,"1975_79","NA","NA"
28,"1980_84","NA","NA"
28,"1985_89","NA","NA"
28,"1990_94","NA","NA"
28,"1995_99","NA","NA"
28,"2000_04","NA","NA"
28,"2005_09","NA","NA"
28,"2010_14","NA","NA"
28,"2015_19","NA","NA"
28,"2020_25","NA","NA"
31,"1970_74","NA","NA"
31,"1975_79","NA","NA"
31,"1980_84","NA","NA"
31,"1985_89","NA","NA"
31,"1990_94","NA","NA"
31,"1995_99","NA","NA"
31,"2000_04","NA","NA"
31,"2005_09","NA","NA"
31,"2010_14","NA","NA"
31,"2015_19","NA","NA"
31,"2020_25","NA","NA"
32,"1970_74",3.513199,"15-19"
32,"1975_79",2.850161,"15-19"
32,"1980_84",2.255333,"15-19"
32,"1985_89",1.874345,"15-19"
32,"1990_94",1.631889,"15-19"
32,"1995_99",1.446282,"15-19"
32,"2000_04",1.190288,"15-19"
32,"2005_09",.5093747,"15-19"
32,"2010_14",.3951506,"15-19"
32,"2015_19",.3715958,"15-19"
32,"2020_25",.7170571,"15-19"
32,"1970_74",4.153255,"20-24"
32,"1975_79",3.510263,"20-24"
32,"1980_84",2.845859,"20-24"
32,"1985_89",2.255211,"20-24"
32,"1990_94",1.873719,"20-24"
32,"1995_99",1.631531,"20-24"
32,"2000_04",1.352678,"20-24"
32,"2005_09",.5824497,"20-24"
32,"2010_14",.4537223,"20-24"
32,"2015_19",.4280541,"20-24"
