"iso","year","sex","unesco_il_prop","wb_il_prop","cc","continent"
316,1970,"Male",NA,NA,"Guam","Oceania"
320,1970,"Male",47.0202032759537,NA,"Guatemala","Americas"
324,1970,"Male",NA,NA,"Guinea","Africa"
624,1970,"Male",78.1766566258742,NA,"Guinea-Bissau","Africa"
328,1970,"Male",6.33521022184413,NA,"Guyana","Americas"
332,1970,"Male",73.8987555816027,NA,"Haiti","Americas"
340,1970,"Male",43.4722893961031,NA,"Honduras","Americas"
344,1970,"Male",7.88324238743067,NA,"Hong Kong SAR China","Asia"
348,1970,"Male",1.51267122026836,NA,"Hungary","Europe"
352,1970,"Male",NA,NA,"Iceland","Europe"
356,1970,"Male",53.2120134622998,NA,"India","Asia"
360,1970,"Male",31.0673038668605,NA,"Indonesia","Asia"
364,1970,"Male",53.9860763448027,NA,"Iran","Asia"
368,1970,"Male",61.7466902708209,NA,"Iraq","Asia"
372,1970,"Male",NA,NA,"Ireland","Europe"
376,1970,"Male",7.38374190235945,NA,"Israel","Asia"
380,1970,"Male",4.12499097922162,NA,"Italy","Europe"
388,1970,"Male",36.19273633255,NA,"Jamaica","Americas"
392,1970,"Male",NA,NA,"Japan","Asia"
400,1970,"Male",27.5083474860736,NA,"Jordan","Asia"
398,1970,"Male",NA,NA,"Kazakhstan","Asia"
404,1970,"Male",44.0020713412138,NA,"Kenya","Africa"
296,1970,"Male",NA,NA,"Kiribati","Oceania"
414,1970,"Male",32.752880175891,NA,"Kuwait","Asia"
417,1970,"Male",NA,NA,"Kyrgyzstan","Asia"
418,1970,"Male",NA,NA,"Laos","Asia"
428,1970,"Male",0.202481594354758,NA,"Latvia","Europe"
422,1970,"Male",24.0405072155631,NA,"Lebanon","Asia"
426,1970,"Male",49.6726138137881,NA,"Lesotho","Africa"
430,1970,"Male",70.5115947180156,NA,"Liberia","Africa"
434,1970,"Male",44.5008197761408,NA,"Libya","Africa"
440,1970,"Male",1.02681275265107,NA,"Lithuania","Europe"
442,1970,"Male",NA,NA,"Luxembourg","Europe"
446,1970,"Male",NA,NA,"Macau SAR China","Asia"
450,1970,"Male",50.7046422590173,NA,"Madagascar","Africa"
454,1970,"Male",41.9456985131715,NA,"Malawi","Africa"
458,1970,"Male",29.6788290304857,NA,"Malaysia","Asia"
462,1970,"Male",12.8440202993072,NA,"Maldives","Asia"
466,1970,"Male",90.3158311804346,NA,"Mali","Africa"
470,1970,"Male",21.6230795338261,NA,"Malta","Europe"
474,1970,"Male",12.2747139360184,NA,"Martinique","Americas"
478,1970,"Male",64.5124954235158,NA,"Mauritania","Africa"
480,1970,"Male",23.264546795102,NA,"Mauritius","Africa"
175,1970,"Male",NA,NA,"Mayotte","Africa"
484,1970,"Male",19.9661945317518,NA,"Mexico","Americas"
583,1970,"Male",NA,NA,"Micronesia (Federated States of)","Oceania"
496,1970,"Male",NA,NA,"Mongolia","Asia"
499,1970,"Male",NA,NA,"Montenegro","Europe"
504,1970,"Male",68.2553168361837,NA,"Morocco","Africa"
508,1970,"Male",72.6955602885828,NA,"Mozambique","Africa"
104,1970,"Male",16.6707686207369,NA,"Myanmar (Burma)","Asia"
516,1970,"Male",36.3591576646179,NA,"Namibia","Africa"
524,1970,"Male",71.5176833726093,NA,"Nepal","Asia"
528,1970,"Male",NA,NA,"Netherlands","Europe"
540,1970,"Male",NA,NA,"New Caledonia","Oceania"
554,1970,"Male",NA,NA,"New Zealand","Oceania"
558,1970,"Male",42.1184208500481,NA,"Nicaragua","Americas"
562,1970,"Male",89.4520854611613,NA,"Niger","Africa"
566,1970,"Male",69.4411201608222,NA,"Nigeria","Africa"
578,1970,"Male",NA,NA,"Norway","Europe"
275,1970,"Male",NA,NA,"Palestinian Territories","Asia"
512,1970,"Male",68.2605153849079,NA,"Oman","Asia"
586,1970,"Male",68.2631583650587,NA,"Pakistan","Asia"
591,1970,"Male",20.1025315756373,NA,"Panama","Americas"
598,1970,"Male",51.0666279518974,NA,"Papua New Guinea","Oceania"
600,1970,"Male",14.6350374417396,NA,"Paraguay","Americas"
604,1970,"Male",17.2810863437581,NA,"Peru","Americas"
608,1970,"Male",14.5204900599769,NA,"Philippines","Asia"
616,1970,"Male",1.17670475001091,NA,"Poland","Europe"
620,1970,"Male",19.7588142305354,NA,"Portugal","Europe"
630,1970,"Male",13.594340426522,NA,"Puerto Rico","Americas"
634,1970,"Male",37.4384408158558,NA,"Qatar","Asia"
410,1970,"Male",6.25675056393029,NA,"South Korea","Asia"
498,1970,"Male",3.76759925935277,NA,"Moldova","Europe"
638,1970,"Male",37.9658622548937,NA,"Réunion","Africa"
642,1970,"Male",2.99418286204426,NA,"Romania","Europe"
643,1970,"Male",0.775856361496116,NA,"Russia","Europe"
646,1970,"Male",60.1280115442896,NA,"Rwanda","Africa"
662,1970,"Male",NA,NA,"St. Lucia","Americas"
670,1970,"Male",NA,4.1999969482422,"St. Vincent & Grenadines","Americas"
882,1970,"Male",32.1942447747279,NA,"Samoa","Oceania"
678,1970,"Male",NA,NA,"São Tomé & Príncipe","Africa"
682,1970,"Male",48.0653900519868,NA,"Saudi Arabia","Asia"
686,1970,"Male",76.6900568562189,NA,"Senegal","Africa"
688,1970,"Male",NA,NA,"Serbia","Europe"
690,1970,"Male",NA,NA,"Seychelles","Africa"
694,1970,"Male",NA,NA,"Sierra Leone","Africa"
702,1970,"Male",14.0132508501834,NA,"Singapore","Asia"
703,1970,"Male",NA,NA,"Slovakia","Europe"
705,1970,"Male",0.562692235156814,NA,"Slovenia","Europe"
90,1970,"Male",NA,NA,"Solomon Islands","Oceania"
706,1970,"Male",NA,NA,"Somalia","Africa"
710,1970,"Male",28.3351506051856,NA,"South Africa","Africa"
728,1970,"Male",NA,NA,"South Sudan","Africa"
724,1970,"Male",4.84370350133175,NA,"Spain","Europe"
144,1970,"Male",11.5862191940725,NA,"Sri Lanka","Asia"
729,1970,"Male",58.9134992932948,NA,"Sudan","Africa"
740,1970,"Male",NA,NA,"Suriname","Americas"
748,1970,"Male",46.6106883232885,NA,"Swaziland","Africa"
752,1970,"Male",NA,NA,"Sweden","Europe"
756,1970,"Male",NA,NA,"Switzerland","Europe"
760,1970,"Male",39.3209799125486,NA,"Syria","Asia"
158,1970,"Male",NA,NA,"Taiwan","Asia"
762,1970,"Male",4.65727372606649,NA,"Tajikistan","Asia"
764,1970,"Male",11.9522055344088,NA,"Thailand","Asia"
807,1970,"Male",NA,NA,"Macedonia","Europe"
626,1970,"Male",NA,NA,"Timor-Leste","Asia"
768,1970,"Male",59.3040145652837,NA,"Togo","Africa"
776,1970,"Male",NA,NA,"Tonga","Oceania"
780,1970,"Male",5.67208876017688,NA,"Trinidad & Tobago","Americas"
788,1970,"Male",59.1748783413605,NA,"Tunisia","Africa"
792,1970,"Male",26.7818732293913,NA,"Turkey","Asia"
795,1970,"Male",NA,NA,"Turkmenistan","Asia"
800,1970,"Male",48.6383342194463,NA,"Uganda","Africa"
804,1970,"Male",NA,NA,"Ukraine","Europe"
784,1970,"Male",40.7641892017377,NA,"United Arab Emirates","Asia"
826,1970,"Male",NA,NA,"United Kingdom","Europe"
834,1970,"Male",44.8188308203422,NA,"Tanzania","Africa"
840,1970,"Male",NA,NA,"United States","Americas"
850,1970,"Male",NA,NA,"U.S. Virgin Islands","Americas"
858,1970,"Male",7.5413799497522,NA,"Uruguay","Americas"
860,1970,"Male",28.0091022213609,NA,"Uzbekistan","Asia"
548,1970,"Male",NA,NA,"Vanuatu","Oceania"
862,1970,"Male",20.0854050915393,NA,"Venezuela","Americas"
704,1970,"Male",8.94592430663903,NA,"Vietnam","Asia"
732,1970,"Male",NA,NA,"Western Sahara","Africa"
887,1970,"Male",73.1699607125999,NA,"Yemen","Asia"
894,1970,"Male",36.076768664362,NA,"Zambia","Africa"
716,1970,"Male",33.7815158163658,NA,"Zimbabwe","Africa"
4,1971,"Male",78.4684042772182,NA,"Afghanistan","Asia"
8,1971,"Male",32.2022451731487,NA,"Albania","Europe"
12,1971,"Male",59.9587674500337,NA,"Algeria","Africa"
24,1971,"Male",NA,NA,"Angola","Africa"
28,1971,"Male",NA,NA,"Antigua & Barbuda","Americas"
32,1971,"Male",6.25893935943027,NA,"Argentina","Americas"
51,1971,"Male",NA,NA,"Armenia","Asia"
533,1971,"Male",NA,NA,"Aruba","Americas"
36,1971,"Male",NA,NA,"Australia","Oceania"
40,1971,"Male",NA,NA,"Austria","Europe"
31,1971,"Male",NA,NA,"Azerbaijan","Asia"
44,1971,"Male",8.41497854861219,NA,"Bahamas","Americas"
48,1971,"Male",36.7941246849969,NA,"Bahrain","Asia"
50,1971,"Male",64.0803518434352,NA,"Bangladesh","Asia"
52,1971,"Male",NA,NA,"Barbados","Americas"
112,1971,"Male",0.590166974987795,NA,"Belarus","Europe"
56,1971,"Male",NA,NA,"Belgium","Europe"
84,1971,"Male",20.2316485806105,NA,"Belize","Americas"
204,1971,"Male",82.9398117344215,NA,"Benin","Africa"
64,1971,"Male",NA,NA,"Bhutan","Asia"
68,1971,"Male",28.5443178208349,NA,"Bolivia","Americas"
70,1971,"Male",NA,NA,"Bosnia & Herzegovina","Europe"
72,1971,"Male",53.6595629465774,NA,"Botswana","Africa"
76,1971,"Male",27.5480890304594,NA,"Brazil","Americas"
96,1971,"Male",25.9585135341711,NA,"Brunei","Asia"
100,1971,"Male",3.85355093587514,NA,"Bulgaria","Europe"
854,1971,"Male",87.5043152593892,NA,"Burkina Faso","Africa"
108,1971,"Male",62.5949860432824,NA,"Burundi","Africa"
116,1971,"Male",28.7095563248929,NA,"Cambodia","Asia"
120,1971,"Male",53.6695816998655,NA,"Cameroon","Africa"
124,1971,"Male",NA,NA,"Canada","Americas"
132,1971,"Male",46.1374280683747,NA,"Cape Verde","Africa"
140,1971,"Male",74.1777480682063,NA,"Central African Republic","Africa"
148,1971,"Male",84.3863617862904,NA,"Chad","Africa"
152,1971,"Male",10.4064194582186,NA,"Chile","Americas"
156,1971,"Male",32.5531651407177,NA,"China","Asia"
170,1971,"Male",19.8066432394639,NA,"Colombia","Americas"
174,1971,"Male",48.9725555385554,NA,"Comoros","Africa"
178,1971,"Male",51.1327059924309,NA,"Congo - Brazzaville","Africa"
178,1971,"Male",63.1448889492854,NA,"Congo - Brazzaville","Africa"
188,1971,"Male",10.96295241222,NA,"Costa Rica","Americas"
384,1971,"Male",74.4353968049318,NA,"Côte d’Ivoire","Africa"
191,1971,"Male",2.41892574851303,NA,"Croatia","Europe"
192,1971,"Male",10.2346002878412,NA,"Cuba","Americas"
531,1971,"Male",NA,NA,"Curaçao","Americas"
196,1971,"Male",6.86484640758485,NA,"Cyprus","Asia"
203,1971,"Male",NA,NA,"Czechia","Europe"
408,1971,"Male",NA,NA,"North Korea","Asia"
180,1971,"Male",NA,NA,"Congo - Kinshasa","Africa"
208,1971,"Male",NA,NA,"Denmark","Europe"
262,1971,"Male",53.6961934176194,NA,"Djibouti","Africa"
214,1971,"Male",30.1502924394933,NA,"Dominican Republic","Americas"
218,1971,"Male",20.266882012404,NA,"Ecuador","Americas"
818,1971,"Male",53.2111782835948,NA,"Egypt","Africa"
222,1971,"Male",35.5185540440894,NA,"El Salvador","Americas"
226,1971,"Male",31.8366958340475,NA,"Equatorial Guinea","Africa"
232,1971,"Male",59.4722247077166,NA,"Eritrea","Africa"
233,1971,"Male",NA,NA,"Estonia","Europe"
231,1971,"Male",79.7622786467034,NA,"Ethiopia","Africa"
242,1971,"Male",19.1849774282771,NA,"Fiji","Oceania"
246,1971,"Male",NA,NA,"Finland","Europe"
250,1971,"Male",NA,NA,"France","Europe"
254,1971,"Male",NA,NA,"French Guiana","Americas"
258,1971,"Male",NA,NA,"French Polynesia","Oceania"
266,1971,"Male",NA,NA,"Gabon","Africa"
270,1971,"Male",86.3192822366821,NA,"Gambia","Africa"
268,1971,"Male",NA,NA,"Georgia","Asia"
276,1971,"Male",NA,NA,"Germany","Europe"
288,1971,"Male",55.5703251034426,NA,"Ghana","Africa"
300,1971,"Male",5.12938392197488,NA,"Greece","Europe"
308,1971,"Male",NA,NA,"Grenada","Americas"
312,1971,"Male",NA,NA,"Guadeloupe","Americas"
316,1971,"Male",NA,NA,"Guam","Oceania"
320,1971,"Male",46.1759409876975,NA,"Guatemala","Americas"
324,1971,"Male",NA,NA,"Guinea","Africa"
624,1971,"Male",77.2776908574773,NA,"Guinea-Bissau","Africa"
328,1971,"Male",6.10305187698553,NA,"Guyana","Americas"
332,1971,"Male",73.1536491820331,NA,"Haiti","Americas"
340,1971,"Male",42.7135880414091,NA,"Honduras","Americas"
344,1971,"Male",7.69888897397344,NA,"Hong Kong SAR China","Asia"
348,1971,"Male",1.46953360385177,NA,"Hungary","Europe"
352,1971,"Male",NA,NA,"Iceland","Europe"
356,1971,"Male",52.4305800008569,NA,"India","Asia"
360,1971,"Male",29.9722152563474,NA,"Indonesia","Asia"
364,1971,"Male",52.3021468712884,NA,"Iran","Asia"
368,1971,"Male",60.8237896030315,NA,"Iraq","Asia"
372,1971,"Male",NA,NA,"Ireland","Europe"
376,1971,"Male",7.14426459127329,NA,"Israel","Asia"
380,1971,"Male",3.99734842814406,NA,"Italy","Europe"
388,1971,"Male",35.3458862026124,NA,"Jamaica","Americas"
392,1971,"Male",NA,NA,"Japan","Asia"
400,1971,"Male",26.4219540961368,NA,"Jordan","Asia"
398,1971,"Male",NA,NA,"Kazakhstan","Asia"
404,1971,"Male",42.5469166796643,NA,"Kenya","Africa"
296,1971,"Male",NA,NA,"Kiribati","Oceania"
414,1971,"Male",32.2191148573218,NA,"Kuwait","Asia"
417,1971,"Male",NA,NA,"Kyrgyzstan","Asia"
418,1971,"Male",NA,NA,"Laos","Asia"
428,1971,"Male",0.20232775417057,NA,"Latvia","Europe"
422,1971,"Male",23.2282721110958,NA,"Lebanon","Asia"
426,1971,"Male",48.8634482474764,NA,"Lesotho","Africa"
430,1971,"Male",69.3160272413313,NA,"Liberia","Africa"
434,1971,"Male",42.4565640045476,NA,"Libya","Africa"
440,1971,"Male",0.994725767073992,NA,"Lithuania","Europe"
442,1971,"Male",NA,NA,"Luxembourg","Europe"
446,1971,"Male",NA,NA,"Macau SAR China","Asia"
450,1971,"Male",49.8232025277021,NA,"Madagascar","Africa"
454,1971,"Male",41.373048035443,NA,"Malawi","Africa"
458,1971,"Male",28.6124435398727,NA,"Malaysia","Asia"
462,1971,"Male",12.933290052513,NA,"Maldives","Asia"
466,1971,"Male",89.5017547602542,NA,"Mali","Africa"
470,1971,"Male",21.1892533986603,NA,"Malta","Europe"
474,1971,"Male",11.8140380413966,NA,"Martinique","Americas"
478,1971,"Male",63.9737883303517,NA,"Mauritania","Africa"
480,1971,"Male",22.6988468012712,NA,"Mauritius","Africa"
175,1971,"Male",NA,NA,"Mayotte","Africa"
484,1971,"Male",19.3234798165288,NA,"Mexico","Americas"
583,1971,"Male",NA,NA,"Micronesia (Federated States of)","Oceania"
496,1971,"Male",NA,NA,"Mongolia","Asia"
499,1971,"Male",NA,NA,"Montenegro","Europe"
504,1971,"Male",67.1227822276213,NA,"Morocco","Africa"
508,1971,"Male",71.618121301982,NA,"Mozambique","Africa"
104,1971,"Male",16.4497853869794,NA,"Myanmar (Burma)","Asia"
516,1971,"Male",35.5859237026845,NA,"Namibia","Africa"
524,1971,"Male",70.6284925622136,NA,"Nepal","Asia"
528,1971,"Male",NA,NA,"Netherlands","Europe"
540,1971,"Male",NA,NA,"New Caledonia","Oceania"
554,1971,"Male",NA,NA,"New Zealand","Oceania"
558,1971,"Male",41.7838668013446,NA,"Nicaragua","Americas"
562,1971,"Male",89.1766987188788,NA,"Niger","Africa"
566,1971,"Male",68.1534892633812,NA,"Nigeria","Africa"
578,1971,"Male",NA,NA,"Norway","Europe"
275,1971,"Male",NA,NA,"Palestinian Territories","Asia"
512,1971,"Male",66.2766284700603,NA,"Oman","Asia"
586,1971,"Male",67.3731789111399,NA,"Pakistan","Asia"
591,1971,"Male",19.5257446453084,NA,"Panama","Americas"
598,1971,"Male",50.3391087271594,NA,"Papua New Guinea","Oceania"
600,1971,"Male",14.1951022412024,NA,"Paraguay","Americas"
604,1971,"Male",16.6814226149392,NA,"Peru","Americas"
608,1971,"Male",14.0358365421282,NA,"Philippines","Asia"
616,1971,"Male",1.12136490810141,NA,"Poland","Europe"
620,1971,"Male",19.1562292124292,NA,"Portugal","Europe"
630,1971,"Male",13.2009402933813,NA,"Puerto Rico","Americas"
634,1971,"Male",37.3468495039724,NA,"Qatar","Asia"
410,1971,"Male",5.92563661411323,NA,"South Korea","Asia"
498,1971,"Male",3.55575102562944,NA,"Moldova","Europe"
638,1971,"Male",36.9480672122864,NA,"Réunion","Africa"
642,1971,"Male",2.89443786539514,NA,"Romania","Europe"
643,1971,"Male",0.750341046017831,NA,"Russia","Europe"
646,1971,"Male",59.0134287743973,NA,"Rwanda","Africa"
662,1971,"Male",NA,NA,"St. Lucia","Americas"
670,1971,"Male",NA,NA,"St. Vincent & Grenadines","Americas"
882,1971,"Male",31.4245502403325,NA,"Samoa","Oceania"
678,1971,"Male",NA,NA,"São Tomé & Príncipe","Africa"
682,1971,"Male",46.5491272777913,NA,"Saudi Arabia","Asia"
686,1971,"Male",75.9346636223052,NA,"Senegal","Africa"
688,1971,"Male",NA,NA,"Serbia","Europe"
690,1971,"Male",NA,NA,"Seychelles","Africa"
694,1971,"Male",NA,NA,"Sierra Leone","Africa"
702,1971,"Male",13.373624797674,NA,"Singapore","Asia"
703,1971,"Male",NA,NA,"Slovakia","Europe"
705,1971,"Male",0.553497468496852,NA,"Slovenia","Europe"
90,1971,"Male",NA,NA,"Solomon Islands","Oceania"
706,1971,"Male",NA,NA,"Somalia","Africa"
710,1971,"Male",27.7243685801075,NA,"South Africa","Africa"
728,1971,"Male",NA,NA,"South Sudan","Africa"
724,1971,"Male",4.69328336997835,NA,"Spain","Europe"
144,1971,"Male",11.3365323520943,NA,"Sri Lanka","Asia"
729,1971,"Male",57.9421838789233,NA,"Sudan","Africa"
740,1971,"Male",NA,NA,"Suriname","Americas"
748,1971,"Male",45.6415045837326,NA,"Swaziland","Africa"
752,1971,"Male",NA,NA,"Sweden","Europe"
756,1971,"Male",NA,NA,"Switzerland","Europe"
760,1971,"Male",38.0165894185475,NA,"Syria","Asia"
158,1971,"Male",NA,NA,"Taiwan","Asia"
762,1971,"Male",4.37462101848184,NA,"Tajikistan","Asia"
764,1971,"Male",11.4450239801046,NA,"Thailand","Asia"
807,1971,"Male",NA,NA,"Macedonia","Europe"
626,1971,"Male",NA,NA,"Timor-Leste","Asia"
768,1971,"Male",58.1315216260593,NA,"Togo","Africa"
776,1971,"Male",NA,NA,"Tonga","Oceania"
780,1971,"Male",5.38726328391582,NA,"Trinidad & Tobago","Americas"
788,1971,"Male",57.3496458778459,NA,"Tunisia","Africa"
792,1971,"Male",25.7505620656461,NA,"Turkey","Asia"
795,1971,"Male",NA,NA,"Turkmenistan","Asia"
800,1971,"Male",47.7029564559719,NA,"Uganda","Africa"
804,1971,"Male",0.424183311945463,NA,"Ukraine","Europe"
784,1971,"Male",39.9835518602845,NA,"United Arab Emirates","Asia"
826,1971,"Male",NA,NA,"United Kingdom","Europe"
834,1971,"Male",43.6266974279658,NA,"Tanzania","Africa"
840,1971,"Male",NA,NA,"United States","Americas"
850,1971,"Male",NA,NA,"U.S. Virgin Islands","Americas"
858,1971,"Male",7.3522442335095,NA,"Uruguay","Americas"
860,1971,"Male",26.664692235545,NA,"Uzbekistan","Asia"
548,1971,"Male",NA,NA,"Vanuatu","Oceania"
862,1971,"Male",19.4345536301395,NA,"Venezuela","Americas"
704,1971,"Male",8.65422855203454,NA,"Vietnam","Asia"
732,1971,"Male",NA,NA,"Western Sahara","Africa"
887,1971,"Male",72.5476599355782,NA,"Yemen","Asia"
894,1971,"Male",35.2707080921136,NA,"Zambia","Africa"
716,1971,"Male",32.5290736186432,NA,"Zimbabwe","Africa"
4,1972,"Male",77.6259535226467,NA,"Afghanistan","Asia"
8,1972,"Male",31.0269833013582,NA,"Albania","Europe"
12,1972,"Male",58.5233980264574,NA,"Algeria","Africa"
24,1972,"Male",NA,NA,"Angola","Africa"
28,1972,"Male",NA,NA,"Antigua & Barbuda","Americas"
32,1972,"Male",6.14264449322738,NA,"Argentina","Americas"
51,1972,"Male",NA,NA,"Armenia","Asia"
533,1972,"Male",NA,NA,"Aruba","Americas"
36,1972,"Male",NA,NA,"Australia","Oceania"
40,1972,"Male",NA,NA,"Austria","Europe"
31,1972,"Male",NA,NA,"Azerbaijan","Asia"
44,1972,"Male",8.22932930583023,NA,"Bahamas","Americas"
48,1972,"Male",34.1194795966194,NA,"Bahrain","Asia"
50,1972,"Male",63.57532755807,NA,"Bangladesh","Asia"
52,1972,"Male",NA,NA,"Barbados","Americas"
112,1972,"Male",0.571648145449911,NA,"Belarus","Europe"
56,1972,"Male",NA,NA,"Belgium","Europe"
84,1972,"Male",19.3832423698824,NA,"Belize","Americas"
204,1972,"Male",81.8748571480482,NA,"Benin","Africa"
64,1972,"Male",NA,NA,"Bhutan","Asia"
68,1972,"Male",27.5618821734245,NA,"Bolivia","Americas"
70,1972,"Male",NA,NA,"Bosnia & Herzegovina","Europe"
72,1972,"Male",52.4700203929498,NA,"Botswana","Africa"
76,1972,"Male",26.979063845084,NA,"Brazil","Americas"
96,1972,"Male",25.071442094149,NA,"Brunei","Asia"
100,1972,"Male",3.7387707970235,NA,"Bulgaria","Europe"
854,1972,"Male",87.0015185420451,NA,"Burkina Faso","Africa"
108,1972,"Male",61.9436574351159,NA,"Burundi","Africa"
116,1972,"Male",28.1905034562406,NA,"Cambodia","Asia"
120,1972,"Male",52.2555626838016,NA,"Cameroon","Africa"
124,1972,"Male",NA,NA,"Canada","Americas"
132,1972,"Male",44.566860244611,NA,"Cape Verde","Africa"
140,1972,"Male",73.0007349465045,NA,"Central African Republic","Africa"
148,1972,"Male",83.5116763196166,NA,"Chad","Africa"
152,1972,"Male",10.0870920778874,NA,"Chile","Americas"
156,1972,"Male",31.3446221298384,NA,"China","Asia"
170,1972,"Male",19.2496348240254,NA,"Colombia","Americas"
174,1972,"Male",48.4393872274981,NA,"Comoros","Africa"
178,1972,"Male",49.6692851432591,NA,"Congo - Brazzaville","Africa"
178,1972,"Male",61.8901800281483,NA,"Congo - Brazzaville","Africa"
188,1972,"Male",10.6184900812403,NA,"Costa Rica","Americas"
384,1972,"Male",73.5553863025258,NA,"Côte d’Ivoire","Africa"
191,1972,"Male",2.33110913142144,NA,"Croatia","Europe"
192,1972,"Male",9.96046822358841,NA,"Cuba","Americas"
531,1972,"Male",NA,NA,"Curaçao","Americas"
196,1972,"Male",6.54252191942543,NA,"Cyprus","Asia"
203,1972,"Male",NA,NA,"Czechia","Europe"
408,1972,"Male",NA,NA,"North Korea","Asia"
180,1972,"Male",NA,NA,"Congo - Kinshasa","Africa"
208,1972,"Male",NA,NA,"Denmark","Europe"
262,1972,"Male",52.5012908940321,NA,"Djibouti","Africa"
214,1972,"Male",29.5782202425816,NA,"Dominican Republic","Americas"
218,1972,"Male",19.6489296889497,NA,"Ecuador","Americas"
818,1972,"Male",52.4440574725685,NA,"Egypt","Africa"
222,1972,"Male",34.8225159992577,NA,"El Salvador","Americas"
226,1972,"Male",31.2869950799808,NA,"Equatorial Guinea","Africa"
232,1972,"Male",58.6016490054047,NA,"Eritrea","Africa"
