"iso","year","literate_prop","wb_il_prop","sex"
428,"1961",NA,NA,"Male"
446,"1961",NA,NA,"Male"
663,"1961",NA,NA,"Male"
504,"1961",NA,NA,"Male"
492,"1961",NA,NA,"Male"
498,"1961",NA,NA,"Male"
450,"1961",NA,NA,"Male"
462,"1961",NA,NA,"Male"
484,"1961",NA,NA,"Male"
584,"1961",NA,NA,"Male"
807,"1961",NA,NA,"Male"
466,"1961",NA,NA,"Male"
470,"1961",NA,NA,"Male"
104,"1961",NA,NA,"Male"
499,"1961",NA,NA,"Male"
496,"1961",NA,NA,"Male"
580,"1961",NA,NA,"Male"
508,"1961",NA,NA,"Male"
478,"1961",NA,NA,"Male"
480,"1961",NA,NA,"Male"
454,"1961",NA,NA,"Male"
458,"1961",NA,NA,"Male"
516,"1961",NA,NA,"Male"
540,"1961",NA,NA,"Male"
562,"1961",NA,NA,"Male"
566,"1961",NA,NA,"Male"
558,"1961",NA,NA,"Male"
528,"1961",NA,NA,"Male"
578,"1961",NA,NA,"Male"
524,"1961",NA,NA,"Male"
520,"1961",NA,NA,"Male"
554,"1961",NA,NA,"Male"
512,"1961",NA,NA,"Male"
586,"1961",NA,NA,"Male"
591,"1961",NA,NA,"Male"
604,"1961",NA,NA,"Male"
608,"1961",NA,NA,"Male"
585,"1961",NA,NA,"Male"
598,"1961",NA,NA,"Male"
616,"1961",NA,NA,"Male"
630,"1961",NA,NA,"Male"
408,"1961",NA,NA,"Male"
620,"1961",NA,NA,"Male"
600,"1961",NA,NA,"Male"
275,"1961",NA,NA,"Male"
258,"1961",NA,NA,"Male"
634,"1961",NA,NA,"Male"
642,"1961",NA,NA,"Male"
643,"1961",NA,NA,"Male"
646,"1961",NA,NA,"Male"
682,"1961",NA,NA,"Male"
729,"1961",NA,NA,"Male"
686,"1961",NA,NA,"Male"
702,"1961",NA,NA,"Male"
90,"1961",NA,NA,"Male"
694,"1961",NA,NA,"Male"
222,"1961",NA,NA,"Male"
674,"1961",NA,NA,"Male"
706,"1961",NA,NA,"Male"
688,"1961",NA,NA,"Male"
728,"1961",NA,NA,"Male"
678,"1961",NA,NA,"Male"
740,"1961",NA,NA,"Male"
703,"1961",NA,NA,"Male"
705,"1961",NA,NA,"Male"
752,"1961",NA,NA,"Male"
748,"1961",NA,NA,"Male"
534,"1961",NA,NA,"Male"
690,"1961",NA,NA,"Male"
760,"1961",NA,NA,"Male"
796,"1961",NA,NA,"Male"
148,"1961",NA,NA,"Male"
768,"1961",NA,NA,"Male"
764,"1961",NA,NA,"Male"
762,"1961",NA,NA,"Male"
795,"1961",NA,NA,"Male"
626,"1961",NA,NA,"Male"
776,"1961",NA,NA,"Male"
780,"1961",NA,NA,"Male"
788,"1961",NA,NA,"Male"
792,"1961",NA,NA,"Male"
798,"1961",NA,NA,"Male"
834,"1961",NA,NA,"Male"
800,"1961",NA,NA,"Male"
804,"1961",NA,NA,"Male"
858,"1961",NA,NA,"Male"
840,"1961",NA,NA,"Male"
860,"1961",NA,NA,"Male"
670,"1961",NA,NA,"Male"
862,"1961",NA,NA,"Male"
92,"1961",NA,NA,"Male"
850,"1961",NA,NA,"Male"
704,"1961",NA,NA,"Male"
548,"1961",NA,NA,"Male"
882,"1961",NA,NA,"Male"
887,"1961",NA,NA,"Male"
710,"1961",NA,NA,"Male"
894,"1961",NA,NA,"Male"
716,"1961",NA,NA,"Male"
533,"1962",NA,NA,"Male"
4,"1962",NA,NA,"Male"
24,"1962",NA,NA,"Male"
8,"1962",NA,NA,"Male"
20,"1962",NA,NA,"Male"
784,"1962",NA,NA,"Male"
32,"1962",NA,NA,"Male"
51,"1962",NA,NA,"Male"
16,"1962",NA,NA,"Male"
28,"1962",NA,NA,"Male"
36,"1962",NA,NA,"Male"
40,"1962",NA,NA,"Male"
31,"1962",NA,NA,"Male"
108,"1962",NA,NA,"Male"
56,"1962",NA,NA,"Male"
204,"1962",NA,NA,"Male"
854,"1962",NA,NA,"Male"
50,"1962",NA,NA,"Male"
100,"1962",NA,NA,"Male"
48,"1962",NA,NA,"Male"
44,"1962",NA,NA,"Male"
70,"1962",NA,NA,"Male"
112,"1962",NA,NA,"Male"
84,"1962",NA,NA,"Male"
60,"1962",NA,NA,"Male"
68,"1962",NA,NA,"Male"
76,"1962",NA,NA,"Male"
52,"1962",NA,NA,"Male"
96,"1962",NA,NA,"Male"
64,"1962",NA,NA,"Male"
72,"1962",NA,NA,"Male"
140,"1962",NA,NA,"Male"
124,"1962",NA,NA,"Male"
756,"1962",NA,NA,"Male"
152,"1962",NA,NA,"Male"
156,"1962",NA,NA,"Male"
384,"1962",NA,NA,"Male"
120,"1962",NA,NA,"Male"
180,"1962",NA,NA,"Male"
178,"1962",NA,NA,"Male"
170,"1962",NA,NA,"Male"
174,"1962",NA,NA,"Male"
132,"1962",NA,NA,"Male"
188,"1962",NA,NA,"Male"
192,"1962",NA,NA,"Male"
531,"1962",NA,NA,"Male"
136,"1962",NA,NA,"Male"
196,"1962",NA,NA,"Male"
203,"1962",NA,NA,"Male"
276,"1962",NA,NA,"Male"
262,"1962",NA,NA,"Male"
212,"1962",NA,NA,"Male"
208,"1962",NA,NA,"Male"
214,"1962",NA,NA,"Male"
12,"1962",NA,NA,"Male"
218,"1962",NA,NA,"Male"
818,"1962",NA,NA,"Male"
232,"1962",NA,NA,"Male"
724,"1962",NA,NA,"Male"
233,"1962",NA,NA,"Male"
231,"1962",NA,NA,"Male"
246,"1962",NA,NA,"Male"
242,"1962",NA,NA,"Male"
250,"1962",NA,NA,"Male"
234,"1962",NA,NA,"Male"
583,"1962",NA,NA,"Male"
266,"1962",NA,NA,"Male"
826,"1962",NA,NA,"Male"
268,"1962",NA,NA,"Male"
288,"1962",NA,NA,"Male"
292,"1962",NA,NA,"Male"
324,"1962",NA,NA,"Male"
270,"1962",NA,NA,"Male"
624,"1962",NA,NA,"Male"
226,"1962",NA,NA,"Male"
300,"1962",NA,NA,"Male"
308,"1962",NA,NA,"Male"
304,"1962",NA,NA,"Male"
320,"1962",NA,NA,"Male"
316,"1962",NA,NA,"Male"
328,"1962",NA,NA,"Male"
344,"1962",NA,NA,"Male"
340,"1962",NA,NA,"Male"
191,"1962",NA,NA,"Male"
332,"1962",NA,NA,"Male"
348,"1962",NA,NA,"Male"
360,"1962",NA,NA,"Male"
833,"1962",NA,NA,"Male"
356,"1962",NA,NA,"Male"
372,"1962",NA,NA,"Male"
364,"1962",NA,NA,"Male"
368,"1962",NA,NA,"Male"
352,"1962",NA,NA,"Male"
376,"1962",NA,NA,"Male"
380,"1962",NA,NA,"Male"
388,"1962",NA,NA,"Male"
400,"1962",NA,NA,"Male"
392,"1962",NA,NA,"Male"
398,"1962",NA,NA,"Male"
404,"1962",NA,NA,"Male"
417,"1962",NA,NA,"Male"
116,"1962",NA,NA,"Male"
296,"1962",NA,NA,"Male"
659,"1962",NA,NA,"Male"
410,"1962",NA,NA,"Male"
414,"1962",NA,NA,"Male"
418,"1962",NA,NA,"Male"
422,"1962",NA,NA,"Male"
430,"1962",NA,NA,"Male"
434,"1962",NA,NA,"Male"
662,"1962",NA,NA,"Male"
438,"1962",NA,NA,"Male"
144,"1962",NA,NA,"Male"
426,"1962",NA,NA,"Male"
440,"1962",NA,NA,"Male"
442,"1962",NA,NA,"Male"
428,"1962",NA,NA,"Male"
446,"1962",NA,NA,"Male"
663,"1962",NA,NA,"Male"
504,"1962",NA,NA,"Male"
492,"1962",NA,NA,"Male"
498,"1962",NA,NA,"Male"
450,"1962",NA,NA,"Male"
462,"1962",NA,NA,"Male"
484,"1962",NA,NA,"Male"
584,"1962",NA,NA,"Male"
807,"1962",NA,NA,"Male"
466,"1962",NA,NA,"Male"
470,"1962",NA,NA,"Male"
104,"1962",NA,NA,"Male"
499,"1962",NA,NA,"Male"
496,"1962",NA,NA,"Male"
580,"1962",NA,NA,"Male"
508,"1962",NA,NA,"Male"
478,"1962",NA,NA,"Male"
480,"1962",NA,NA,"Male"
454,"1962",NA,NA,"Male"
458,"1962",NA,NA,"Male"
516,"1962",NA,NA,"Male"
540,"1962",NA,NA,"Male"
562,"1962",NA,NA,"Male"
566,"1962",NA,NA,"Male"
558,"1962",NA,NA,"Male"
528,"1962",NA,NA,"Male"
578,"1962",NA,NA,"Male"
524,"1962",NA,NA,"Male"
520,"1962",NA,NA,"Male"
554,"1962",NA,NA,"Male"
512,"1962",NA,NA,"Male"
586,"1962",NA,NA,"Male"
591,"1962",NA,NA,"Male"
604,"1962",NA,NA,"Male"
608,"1962",NA,NA,"Male"
585,"1962",NA,NA,"Male"
598,"1962",NA,NA,"Male"
616,"1962",NA,NA,"Male"
630,"1962",NA,NA,"Male"
408,"1962",NA,NA,"Male"
620,"1962",NA,NA,"Male"
600,"1962",NA,NA,"Male"
275,"1962",NA,NA,"Male"
258,"1962",NA,NA,"Male"
634,"1962",NA,NA,"Male"
642,"1962",NA,NA,"Male"
643,"1962",NA,NA,"Male"
646,"1962",NA,NA,"Male"
682,"1962",NA,NA,"Male"
729,"1962",NA,NA,"Male"
686,"1962",NA,NA,"Male"
702,"1962",NA,NA,"Male"
90,"1962",NA,NA,"Male"
694,"1962",NA,NA,"Male"
222,"1962",NA,NA,"Male"
674,"1962",NA,NA,"Male"
706,"1962",NA,NA,"Male"
688,"1962",NA,NA,"Male"
728,"1962",NA,NA,"Male"
678,"1962",NA,NA,"Male"
740,"1962",NA,NA,"Male"
703,"1962",NA,NA,"Male"
705,"1962",NA,NA,"Male"
752,"1962",NA,NA,"Male"
748,"1962",NA,NA,"Male"
534,"1962",NA,NA,"Male"
690,"1962",NA,NA,"Male"
760,"1962",NA,NA,"Male"
796,"1962",NA,NA,"Male"
148,"1962",NA,NA,"Male"
768,"1962",NA,NA,"Male"
764,"1962",NA,NA,"Male"
762,"1962",NA,NA,"Male"
795,"1962",NA,NA,"Male"
626,"1962",NA,NA,"Male"
776,"1962",NA,NA,"Male"
780,"1962",NA,NA,"Male"
788,"1962",NA,NA,"Male"
792,"1962",NA,NA,"Male"
798,"1962",NA,NA,"Male"
834,"1962",NA,NA,"Male"
800,"1962",NA,NA,"Male"
804,"1962",NA,NA,"Male"
858,"1962",NA,NA,"Male"
840,"1962",NA,NA,"Male"
860,"1962",NA,NA,"Male"
670,"1962",NA,NA,"Male"
862,"1962",NA,NA,"Male"
92,"1962",NA,NA,"Male"
850,"1962",NA,NA,"Male"
704,"1962",NA,NA,"Male"
548,"1962",NA,NA,"Male"
882,"1962",NA,NA,"Male"
887,"1962",NA,NA,"Male"
710,"1962",NA,NA,"Male"
894,"1962",NA,NA,"Male"
716,"1962",NA,NA,"Male"
533,"1963",NA,NA,"Male"
4,"1963",NA,NA,"Male"
24,"1963",NA,NA,"Male"
8,"1963",NA,NA,"Male"
20,"1963",NA,NA,"Male"
784,"1963",NA,NA,"Male"
32,"1963",NA,NA,"Male"
51,"1963",NA,NA,"Male"
16,"1963",NA,NA,"Male"
28,"1963",NA,NA,"Male"
36,"1963",NA,NA,"Male"
40,"1963",NA,NA,"Male"
31,"1963",NA,NA,"Male"
