"country","year","iso","cc","hlo_mean","edu_exp_","tp_","GEO","fit1","lwr1","upr1","hlo","year_1945","year_1950","year_1955","year_1960","year_1965","year_1970","year_1975","year_1980","year_1985","year_1990"
"Azerbaijan",1990,31,"Azerbaijan",NA,6.05797,19.5086,"Western Asia",420.449418071691,405.789973641684,435.108862501697,420.449418071691,0,0,0,0,0,0,0,0,0,1
"Bahamas",1970,44,"Bahamas",NA,5.809939,44.15203,"Caribbean",344.072189548241,306.663219002205,381.481160094276,344.072189548241,0,0,0,0,0,1,0,0,0,0
"Bahamas",1975,44,"Bahamas",NA,6.181745,24.58798,"Caribbean",396.137792924122,362.929038081429,429.346547766815,396.137792924122,0,0,0,0,0,0,1,0,0,0
"Bahamas",1980,44,"Bahamas",NA,4.281818,24.22698,"Caribbean",391.721087706695,358.823619378036,424.618556035355,391.721087706695,0,0,0,0,0,0,0,1,0,0
"Bahamas",1985,44,"Bahamas",NA,3.532633,19.83745,"Caribbean",401.0548228497,368.071577024126,434.038068675273,401.0548228497,0,0,0,0,0,0,0,0,1,0
"Bahamas",1990,44,"Bahamas",NA,4.105412,21.08982,"Caribbean",399.404349010089,366.647819326593,432.160878693585,399.404349010089,0,0,0,0,0,0,0,0,0,1
"Bahrain",1970,48,"Bahrain",NA,3.685292,22.74675,"Western Asia",405.314001702979,391.955549529395,418.672453876564,405.314001702979,0,0,0,0,0,1,0,0,0,0
"Bahrain",1975,48,"Bahrain",NA,3.981776,21.74945,"Western Asia",408.750784749141,395.640969207961,421.86060029032,408.750784749141,0,0,0,0,0,0,1,0,0,0
"Bahrain",1980,48,"Bahrain",NA,4.347406,18.91712,"Western Asia",417.167766568109,404.487490713158,429.848042423061,417.167766568109,0,0,0,0,0,0,0,1,0,0
"Bahrain",1985,48,"Bahrain",NA,4.264387,20.46079,"Western Asia",412.908221524911,400.008473496958,425.807969552865,412.908221524911,0,0,0,0,0,0,0,0,1,0
"Bahrain",1990,48,"Bahrain",NA,5.658722,21.14131,"Western Asia",415.065870151322,400.731497162917,429.400243139727,415.065870151322,0,0,0,0,0,0,0,0,0,1
"Bangladesh",1970,50,"Bangladesh",NA,2.268256,47.6137,"Southern Asia",314.557113558922,286.890734177811,342.223492940034,314.557113558922,0,0,0,0,0,1,0,0,0,0
"Bangladesh",1975,50,"Bangladesh",NA,1.13093,47.25004,"Southern Asia",312.297995457939,284.021390925402,340.574599990475,312.297995457939,0,0,0,0,0,0,1,0,0,0
"Bangladesh",1980,50,"Bangladesh",NA,1.055288,51.79623,"Southern Asia",300.229601565361,270.612888711944,329.846314418778,300.229601565361,0,0,0,0,0,0,0,1,0,0
"Bangladesh",1985,50,"Bangladesh",NA,1.376103,52.22845,"Southern Asia",300.007251133093,270.489691101876,329.524811164311,300.007251133093,0,0,0,0,0,0,0,0,1,0
"Bangladesh",1990,50,"Bangladesh",NA,1.567292,63.00499,"Southern Asia",272.444515455261,238.962187275729,305.926843634793,272.444515455261,0,0,0,0,0,0,0,0,0,1
"Barbados",1970,52,"Barbados",NA,5.809939,31.97295,"Caribbean",375.831502257992,341.652992052268,410.010012463715,375.831502257992,0,0,0,0,0,1,0,0,0,0
"Barbados",1975,52,"Barbados",NA,6.23098,27.68085,"Caribbean",388.211384848006,354.571050908622,421.85171878739,388.211384848006,0,0,0,0,0,0,1,0,0,0
"Barbados",1980,52,"Barbados",NA,4.281818,21.90042,"Caribbean",397.788044043134,365.047101572074,430.528986514195,397.788044043134,0,0,0,0,0,0,0,1,0,0
"Barbados",1985,52,"Barbados",NA,3.532633,19.80589,"Caribbean",401.137121669407,368.154312965739,434.119930373075,401.137121669407,0,0,0,0,0,0,0,0,1,0
"Barbados",1990,52,"Barbados",NA,6.60199,17.48415,"Caribbean",415.847561862566,382.879453268641,448.815670456491,415.847561862566,0,0,0,0,0,0,0,0,0,1
"Belarus",1970,112,"Belarus",NA,4.57293,27.02714,"Eastern Europe",474.016176190119,458.813494467141,489.218857913097,474.016176190119,0,0,0,0,0,1,0,0,0,0
"Belarus",1975,112,"Belarus",NA,4.051205,27.981,"Eastern Europe",470.057457535667,454.600913118703,485.51400195263,470.057457535667,0,0,0,0,0,0,1,0,0,0
"Belarus",1980,112,"Belarus",NA,3.52948,28.02464,"Eastern Europe",468.47231402931,452.822662943261,484.121965115358,468.47231402931,0,0,0,0,0,0,0,1,0,0
"Belarus",1985,112,"Belarus",NA,4.125498,26.39354,"Eastern Europe",474.406584849672,459.422433440978,489.390736258367,474.406584849672,0,0,0,0,0,0,0,0,1,0
"Belarus",1990,112,"Belarus",NA,4.721516,20.04996,"Eastern Europe",492.629561053237,478.862544381814,506.396577724661,492.629561053237,0,0,0,0,0,0,0,0,0,1
"Belgium",1970,56,"Belgium",NA,4.173138,19.50756,"Western Europe",486.687611190706,473.367929855302,500.007292526111,486.687611190706,0,0,0,0,0,1,0,0,0,0
"Belgium",1975,56,"Belgium",NA,5.629742,19.25479,"Western Europe",491.454602501621,477.90815906833,505.001045934912,491.454602501621,0,0,0,0,0,0,1,0,0,0
"Belgium",1980,56,"Belgium",NA,5.32572,18.59343,"Western Europe",492.321838726426,479.087025988956,505.556651463897,492.321838726426,0,0,0,0,0,0,0,1,0,0
"Belgium",1985,56,"Belgium",NA,4.552347,16.67474,"Western Europe",495.14416562219,482.199181148228,508.089150096151,495.14416562219,0,0,0,0,0,0,0,0,1,0
"Belgium",1990,56,"Belgium",NA,5.36297,12.24186,"Western Europe",508.989839773635,495.879440546299,522.100239000971,508.989839773635,0,0,0,0,0,0,0,0,0,1
"Belize",1970,84,"Belize",NA,2.648185,35.21421,"Central America",357.298400492265,335.14414279541,379.452658189121,357.298400492265,0,0,0,0,0,1,0,0,0,0
"Belize",1975,84,"Belize",NA,2.273989,34.53687,"Central America",358.009406327052,335.603298293486,380.415514360617,358.009406327052,0,0,0,0,0,0,1,0,0,0
"Belize",1980,84,"Belize",NA,3.873037,33.9477,"Central America",364.055339583972,342.72675039527,385.383928772675,364.055339583972,0,0,0,0,0,0,0,1,0,0
"Belize",1985,84,"Belize",NA,3.845829,32.58369,"Central America",367.535529457565,346.409351995618,388.661706919511,367.535529457565,0,0,0,0,0,0,0,0,1,0
"Belize",1990,84,"Belize",NA,2.680458,31.62128,"Central America",366.758676923716,345.090339727729,388.427014119702,366.758676923716,0,0,0,0,0,0,0,0,0,1
"Benin",1970,204,"Benin",NA,3.425147,44.67806,"Western Africa",273.408197817531,252.769248924466,294.047146710596,273.408197817531,0,0,0,0,0,1,0,0,0,0
"Benin",1975,204,"Benin",NA,4.469747,51.21222,"Western Africa",259.315039260869,237.572064905812,281.058013615927,259.315039260869,0,0,0,0,0,0,1,0,0,0
"Benin",1980,204,"Benin",NA,3.979005,42.82058,"Western Africa",279.813900780939,259.212305202196,300.415496359683,279.813900780939,0,0,0,0,0,0,0,1,0,0
"Benin",1985,204,"Benin",NA,3.123109,33.63216,"Western Africa",301.360730909436,279.829437767984,322.892024050889,301.360730909436,0,0,0,0,0,0,0,0,1,0
"Benin",1990,204,"Benin",NA,3.799333,40.07747,"Western Africa",286.460389684182,265.845736268594,307.075043099769,286.460389684182,0,0,0,0,0,0,0,0,0,1
"Bhutan",1970,64,"Bhutan",NA,2.268256,21.72664,"Southern Asia",382.062642192948,356.380948687637,407.744335698259,382.062642192948,0,0,0,0,0,1,0,0,0,0
"Bhutan",1975,64,"Bhutan",NA,2.329819,24.55636,"Southern Asia",374.857215600964,349.562143426451,400.152287775478,374.857215600964,0,0,0,0,0,0,1,0,0,0
"Bhutan",1980,64,"Bhutan",NA,2.519711,36.53599,"Southern Asia",344.153531723472,318.838208900005,369.468854546938,344.153531723472,0,0,0,0,0,0,0,1,0,0
"Bhutan",1985,64,"Bhutan",NA,2.6203,37.06513,"Southern Asia",343.057372827839,317.719653307511,368.395092348167,343.057372827839,0,0,0,0,0,0,0,0,1,0
"Bhutan",1990,64,"Bhutan",NA,2.694158,29.58375,"Southern Asia",362.774812648547,337.950812470219,387.598812826876,362.774812648547,0,0,0,0,0,0,0,0,0,1
"Bolivia (Plurinational State of)",1970,68,"Bolivia (Plurinational State of)",NA,3.004822,29.15234,"South America",363.092845225177,348.319690588341,377.865999862012,363.092845225177,0,0,0,0,0,1,0,0,0,0
"Bolivia (Plurinational State of)",1975,68,"Bolivia (Plurinational State of)",NA,3.436908,27.94226,"South America",367.466911617328,353.114383722745,381.81943951191,367.466911617328,0,0,0,0,0,0,1,0,0,0
"Bolivia (Plurinational State of)",1980,68,"Bolivia (Plurinational State of)",NA,3.955865,26.8661,"South America",371.736745056187,357.615601514339,385.857888598035,371.736745056187,0,0,0,0,0,0,0,1,0,0
"Bolivia (Plurinational State of)",1985,68,"Bolivia (Plurinational State of)",NA,2.994236,27.33768,"South America",367.795068922689,353.258828375404,382.331309469974,367.795068922689,0,0,0,0,0,0,0,0,1,0
"Bolivia (Plurinational State of)",1990,68,"Bolivia (Plurinational State of)",NA,2.437877,25.02137,"South America",372.266279511807,357.295599621513,387.236959402101,372.266279511807,0,0,0,0,0,0,0,0,0,1
"Bosnia and Herzegovina",1970,70,"Bosnia and Herzegovina",NA,2.733934,24.05337,"Southern Europe",442.182457978296,427.57422392516,456.790692031433,442.182457978296,0,0,0,0,0,1,0,0,0,0
"Bosnia and Herzegovina",1975,70,"Bosnia and Herzegovina",NA,2.847354,19.13892,"Southern Europe",455.317700927152,441.689504638542,468.945897215762,455.317700927152,0,0,0,0,0,0,1,0,0,0
"Bosnia and Herzegovina",1980,70,"Bosnia and Herzegovina",NA,3.146412,17.94964,"Southern Europe",459.262368120556,446.084579964375,472.440156276737,459.262368120556,0,0,0,0,0,0,0,1,0,0
"Bosnia and Herzegovina",1985,70,"Bosnia and Herzegovina",NA,3.289963,17.73649,"Southern Europe",460.223033700656,447.203513587516,473.242553813796,460.223033700656,0,0,0,0,0,0,0,0,1,0
"Bosnia and Herzegovina",1990,70,"Bosnia and Herzegovina",NA,4.003836,15.68515,"Southern Europe",467.585530809397,455.116591870481,480.054469748313,467.585530809397,0,0,0,0,0,0,0,0,0,1
"Botswana",1970,72,"Botswana",NA,3.807665,34.33074,"Southern Africa",329.28441191189,304.383570411767,354.185253412014,329.28441191189,0,0,0,0,0,1,0,0,0,0
"Botswana",1975,72,"Botswana",NA,5.841514,31.85429,"Southern Africa",341.47799858721,318.820004214317,364.135992960103,341.47799858721,0,0,0,0,0,0,1,0,0,0
"Botswana",1980,72,"Botswana",NA,5.524416,31.69649,"Southern Africa",340.99522816207,318.106984670346,363.883471653794,340.99522816207,0,0,0,0,0,0,0,1,0,0
