"iso","year","qamys_dhs_full","qamys_dhs_part"
196,1995,NA,NA
196,2000,NA,NA
196,2005,NA,NA
196,2010,NA,NA
196,2015,NA,NA
203,1970,NA,NA
203,1975,NA,NA
203,1980,NA,NA
203,1985,NA,NA
203,1990,NA,NA
203,1995,NA,NA
203,2000,NA,NA
203,2005,NA,NA
203,2010,NA,NA
203,2015,NA,NA
408,1970,NA,NA
408,1975,NA,NA
408,1980,NA,NA
408,1985,NA,NA
408,1990,NA,NA
408,1995,NA,NA
408,2000,NA,NA
408,2005,NA,NA
408,2010,NA,NA
408,2015,NA,NA
180,1970,NA,NA
180,1975,NA,NA
180,1980,NA,NA
180,1985,NA,NA
180,1990,NA,NA
180,1995,NA,NA
180,2000,NA,NA
180,2005,4.36452548115,3.75474817671
180,2010,NA,NA
180,2015,5.17420093726,4.58449971464
208,1970,NA,NA
208,1975,NA,NA
208,1980,NA,NA
208,1985,NA,NA
208,1990,NA,NA
208,1995,NA,NA
208,2000,NA,NA
208,2005,NA,NA
208,2010,NA,NA
208,2015,NA,NA
262,2015,NA,NA
214,1970,NA,NA
214,1975,NA,NA
214,1980,NA,NA
214,1985,NA,NA
214,1990,NA,NA
214,1995,NA,NA
214,2000,6.38650078458,6.00030239718
214,2005,7.09302408316,6.6132004296
214,2010,NA,NA
214,2015,8.15597207874,7.45530220113
218,1970,NA,NA
218,1975,NA,NA
218,1980,NA,NA
218,1985,NA,NA
218,1990,NA,NA
218,1995,NA,NA
218,2000,NA,NA
218,2005,NA,NA
218,2010,NA,NA
218,2015,NA,NA
818,1970,NA,NA
818,1975,NA,NA
818,1980,NA,NA
818,1985,NA,NA
818,1990,NA,NA
818,1995,NA,NA
818,2000,3.11683510338,2.62012831544
818,2005,4.05972858681,3.57693100319
818,2010,5.07700674096,4.51986999048
818,2015,6.39538305408,5.97601367136
222,1970,NA,NA
222,1975,NA,NA
222,1980,NA,NA
222,1985,NA,NA
222,1990,NA,NA
222,1995,NA,NA
222,2000,NA,NA
222,2005,NA,NA
222,2010,NA,NA
222,2015,NA,NA
226,1970,NA,NA
226,1975,NA,NA
226,1980,NA,NA
226,1985,NA,NA
226,1990,NA,NA
226,1995,NA,NA
226,2000,NA,NA
226,2005,NA,NA
226,2010,NA,NA
